Gene names,Systematic Name,Full Name,Uniprot ID,Zn Protein?,Zap1 Protein?,Unique sequence coverage [%],Log 2 LFQ intensity WT 0 hr 1,Log 2 LFQ intensity WT 0 hr 2,Log 2 LFQ intensity WT 0 hr 3,Log 2 LFQ intensity WT 0 hr 4,WT 0 CV (%),Log 2 LFQ intensity WT 4 hr 1,Log 2 LFQ intensity WT 4 hr 2,Log 2 LFQ intensity WT 4 hr 3,Log 2 LFQ intensity WT 4 hr 4,CV WT 4 (%),Log 2 LFQ intensity WT 8 hr 1,Log 2 LFQ intensity WT 8 hr 2,Log 2 LFQ intensity WT 8 hr 3,Log 2 LFQ intensity WT 8 hr 4,CV WT 8 (%),Log 2 LFQ intensity WT 12 hr 1,Log 2 LFQ intensity WT 12 hr 2,Log 2 LFQ intensity WT 12 hr 3,Log 2 LFQ intensity WT 12 hr 4,CV WT 12 (%),Log 2 LFQ intensity WT 16 hr 1,Log 2 LFQ intensity WT 16 hr 3,Log 2 LFQ intensity WT 16 hr 4,CV WT 16 (%),Fold Change 4 hrs,p-value 4 hrs,Fold Change 8 hrs,p-value 8 hrs,Fold Change 12 hrs,p-value 12 hrs,Fold Change 16 hrs,p-value 16 hrs,Copy number WT 0 hr 1,Copy number WT 0 hr 2,Copy number WT 0 hr 3,Concentration [nM] WT 0 hr 4,Copy number WT 4 hr 1,Copy number WT 4 hr 2,Copy number WT 4 hr 3,Copy number WT 4 hr 4,Copy number WT 8 hr 1,Copy number WT 8 hr 2,Copy number WT 8 hr 3,Copy number WT 8 hr 4,Copy number WT 12 hr 1,Copy number WT 12 hr 2,Copy number WT 12 hr 3,Copy number WT 12 hr 4,Copy number WT 16 hr 1,Copy number WT 16 hr 3,Copy number WT 16 hr 4,Average Copy Number 0 hr,Average Copy Number 4 hr,Average Copy Number 8 hr,Average Copy Number 12 hr,Average Copy Number 16 hr,,
YHR020W,YHR020W,Putative proline--tRNA ligase YHR020W,P38708,Yes,No,70.9,33.26946917,33.29925633,33.32173753,33.19822336,3.685856302,32.50355817,32.60591534,32.55857799,32.56376861,2.901899033,32.24801982,32.10061667,32.28482569,32.26088841,5.62854385,32.10017801,32.32257044,32.33564571,32.21080189,7.509360394,32.01604481,32.18296221,32.08334622,5.850397989,-0.714216569,7.72477E-07,-1.04858395,7.30395E-07,-1.029872586,2.82582E-06,-1.178053849,2.98142E-06,59821,61068,62028,3856,35179,37766,36547,36679,29469,26607,30230,29733,26599,31032,31314,28718,25092,28169,26290,46693,36543,29010,29416,26517,,
YGL101W,YGL101W,HD domain-containing protein YGL101W,P53144,Yes,No,37.7,26.23172891,26.36225528,26.49716575,,9.196997741,,,26.64677556,,,,,,,,,,,,,,26.30732048,,,0.283058919,,,,,,-0.056396163,,1393,1525,1674,,,,1857,,,,,,,,,,,1468,,1530,1857,,,1468,,
YDR266C,YDR266C,LIM domain and RING finger protein YDR266C,Q05580,Yes,No,21.3,27.60498366,27.65095739,27.74656752,27.82450597,6.839204282,27.40632907,27.03086377,26.60851293,26.64113492,27.09508225,26.83352152,27.42438314,27.01637696,26.7876828,21.39470386,26.80882202,26.83893998,26.7261144,27.10199442,11.72006182,26.54749977,26.53029107,26.49489452,1.853479235,-0.785043461,0.0067819,-0.691262529,0.004033311,-0.837785927,0.000117581,-1.182525182,5.96561E-06,1254,1295,1384,99,1093,843,629,643,735,1107,834,712,722,738,682,885,603,596,581,1008,802,847,757,593,,
YDJ1,YNL064C,Mitochondrial protein import protein MAS5,P25491,Yes,No,56,31.28521165,31.46762147,31.45826341,31.35031722,6.055552357,30.92747702,30.87949767,30.85177253,30.74983118,5.133830839,30.77525412,30.68344732,30.968223,30.93480536,9.223567799,30.48797882,30.51972101,30.59138612,30.5998331,3.777394811,30.44084874,30.35971934,30.26001911,6.254887975,-0.538208839,8.71125E-05,-0.549920986,0.000476674,-0.840623676,3.48332E-06,-1.036824376,2.20219E-05,26192,29722,29530,1856,20440,19771,19395,18072,18393,17259,21026,20544,15072,15408,16192,16287,14588,13790,12869,21825,19420,19306,15740,13749,,
YBL029C-A,YBL029C-A,UPF0768 protein YBL029C-A,Q3E756,Yes,No,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPS27,YNR006W,Vacuolar protein sorting-associated protein 27,P40343,Yes,No,16.9,25.986851,26.86679256,25.91647686,26.55862087,32.02540155,26.76230559,26.53926876,26.36629686,,13.84567302,26.95903229,26.90242222,26.71122227,,8.805554057,26.5791709,26.98544016,26.99884158,26.98489716,13.20970778,26.66410913,26.85150449,26.72494428,6.693789577,0.223771746,0.471429392,0.525373605,0.117479098,0.554902125,0.06902552,0.414667308,0.191724329,419,771,399,42,717,614,545,,822,790,692,,632,837,845,837,670,763,699,408,625,768,788,710,,
VMS1,YDR049W,Protein VMS1,Q04311,Yes,No,14.4,27.17445684,28.00512106,,27.84092167,27.87735887,,,,,,,,,,,,,,,,,,27.59811215,,,,,,,,-0.075387706,,931,1656,,100,,,,,,,,,,,,,,,1249,896,,,,1249,,
VID22,YLR373C,Vacuolar import and degradation protein 22,Q05934,Yes,No,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTP23,YOR004W,rRNA-processing protein UTP23,Q12339,Yes,No,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URA4,YLR420W,Dihydroorotase,P20051,Yes,No,67.3,31.06900805,31.00376818,31.23728835,30.56764936,18.50030216,30.01331829,30.22227864,30.17307511,30.31246249,8.542480846,29.80971147,29.53391484,30.31883201,29.91869044,23.17992838,29.66890043,29.62451529,29.68632248,29.57132529,3.536714536,29.14904165,29.54187368,29.65931888,17.6598435,-0.789144854,0.002302026,-1.074141296,0.002544817,-1.331662612,9.3797E-05,-1.51935041,0.000831692,24984,23879,28075,1195,12019,13892,13426,14788,10437,8621,14854,11256,9466,9180,9581,8847,6602,8668,9404,19533,13531,11292,9269,8225,,
UME6,YDR207C,Transcriptional regulatory protein UME6,P39001,Yes,No,26.9,,,,,,,,,,,,,,,,,,,,,27.83152964,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,,,,,,,1172,,
ULS1,YOR191W,ATP-dependent helicase ULS1,Q08562,Yes,No,9.1,,,,27.67155165,,27.58591818,,,,,,,27.88407687,,,,,,28.00287003,,27.63006489,27.48000519,28.65897855,48.03854434,-0.08563347,,0.212525222,,0.331318379,,0.251464562,,,,,35,488,,,,,,601,,,,,652,504,454,1028,35,488,601,652,662,,
UBR1,YGR184C,E3 ubiquitin-protein ligase UBR1,P19812,Yes,No,5.3,27.09516793,,26.87748055,26.18776782,30.03290754,,26.81811872,27.24363467,,20.70588627,27.4504184,,27.59170712,,6.919441471,26.11765309,26.73492478,26.43593472,,21.20485663,26.81151934,,,,0.310737928,0.480801456,0.800923992,0.110600378,-0.290634571,0.423612896,0.091380571,,285,,245,10,,235,316,,365,,402,,145,222,181,,234,,,180,276,383,182,234,,
UBP14,YBR058C,Ubiquitin carboxyl-terminal hydrolase 14,P38237,Yes,No,12.5,,27.15904012,26.22584009,26.72051524,31.64423477,26.0661181,26.09500692,26.01686574,26.35189938,10.83647193,26.01280166,,,,,25.84405078,,,26.12336807,13.64754855,,,25.43501272,,-0.569325944,0.065596962,-0.688996819,,-0.718089055,0.142477805,-1.266785762,,,756,396,38,354,362,343,432,342,,,,304,,,369,,,229,397,373,342,336,229,,
UBP10,YNL186W,Ubiquitin carboxyl-terminal hydrolase 10,P53874,Yes,No,19.9,27.31250576,27.98038236,27.82049443,,22.69814338,,,26.16771674,,,27.56158081,,27.53586233,,1.260504092,27.02178687,,27.03191553,27.1931934,6.787616124,,,27.16959109,,-1.536744114,,-0.15573928,0.591530433,-0.622162249,0.040782584,-0.534869764,,842,1337,1197,,,,381,,1000,,983,,688,,693,775,,,762,1125,381,992,719,762,,
UBP1,YDL122W,Ubiquitin carboxyl-terminal hydrolase 1,P25037,Yes,No,31.1,27.69909096,27.92059401,28.26132007,27.77121329,18.20722642,27.69564397,27.60229562,27.47838588,27.68899192,6.881314193,27.76407888,28.00747552,27.85875393,27.9865798,7.82728573,27.69902474,27.79921798,28.25952534,27.71495974,19.81454531,27.24299903,27.49465041,27.48531304,9.593388106,-0.296725233,0.069978368,-0.008832551,0.950816609,-0.044872631,0.813416467,-0.50540042,0.026880275,1050,1224,1551,75,1048,982,901,1043,1099,1300,1173,1282,1050,1126,1549,1062,766,911,906,975,993,1213,1197,861,,
UBA4,YHR111W,Adenylyltransferase and sulfurtransferase UBA4;Adenylyltransferase UBA4;Sulfurtransferase UBA4,P38820,Yes,No,32.5,26.18497172,26.05814916,26.83773764,26.36896278,25.25047564,26.32923465,26.10611481,26.0843807,26.21665632,7.925111944,26.82626509,27.09012777,27.18385554,27.15884756,10.81036788,26.83761735,27.29657865,27.07979091,26.92184275,14.32205505,26.71122227,26.99733473,26.65417121,13.12887994,-0.178358705,0.359654062,0.702318668,0.009998365,0.671502091,0.01476592,0.425120747,0.112082953,691,633,1086,53,764,654,644,706,1078,1294,1381,1357,1086,1493,1285,1152,995,1213,957,616,692,1277,1254,1055,,
UBA2,YDR390C,Ubiquitin-activating enzyme E1-like,P52488,Yes,No,29.2,26.77931499,27.6869903,26.40569631,27.51713207,39.64302115,27.00806353,26.78181793,27.08780337,27.08942074,9.63540136,27.15585972,26.92479004,27.79550702,27.2115041,27.67539804,26.90563894,27.10679374,27.06126373,27.00109889,5.959181455,26.70740927,27.07030114,26.95670813,12.5544444,-0.105507026,0.746592528,0.174631801,0.640565707,-0.078584593,0.806109551,-0.185810571,0.636710103,723,1356,558,82,847,724,895,896,938,799,1462,975,789,907,879,843,688,884,817,679,840,1044,854,796,,
TY2B-LR1;TY2B-GR1,TY2B-LR1;TY2B-GR1,Transposon Ty2-LR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-GR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H,P0C2J3,Yes,No,0,27.89816054,25.46821211,26.70226549,,77.13932626,29.25471342,30.15206782,29.7024967,29.62367839,25.98368195,29.80117783,29.62144427,29.62315508,29.68744091,5.958401653,29.72718618,29.5140493,29.32765954,29.75453766,13.50745302,29.5168316,29.87286565,29.62877942,12.86144368,2.993693036,0.004963799,2.993758477,0.003826295,2.891312125,0.004760511,2.983279512,0.013632128,553,103,242,,1417,2639,1933,1830,2069,1827,1829,1912,1966,1696,1490,2004,1699,2175,1836,299,1955,1909,1789,1903,,
TY1B-PR3,TY1B-PR3,Transposon Ty1-PR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,P0C2J1,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY1B-PR2;TY1B-DR5;TY1B-H;TY1B-DR1,TY1B-PR2;TY1B-DR5;TY1B-H;TY1B-DR1,Transposon Ty1-PR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR5 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-H Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-DR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,P0C2J0,Yes,No,0,26.48721603,27.38418048,27.65690074,27.91991242,36.94702745,27.62254431,26.96057966,27.47475509,27.41465879,18.35406967,27.42245955,,,,,27.74778426,27.39713497,27.31163996,26.96223571,22.32024692,28.1593289,27.61456315,28.10504584,19.47192607,0.006082043,0.986411014,0.060407131,,-0.007353694,0.983952162,0.597593544,0.191646951,212,394,476,39,465,294,420,403,405,,,,507,398,375,294,675,463,650,280,395,405,394,596,,
TY1B-OL,TY1B-OL,Transposon Ty1-OL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q12273,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY1B-NL1,TY1B-NL1,Transposon Ty1-NL1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q12112,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY1B-MR1;TY1B-BL,TY1B-MR1;TY1B-BL,Transposon Ty1-MR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-BL Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q04214,Yes,No,0,26.59676234,27.01881923,27.33696535,26.69471453,23.96729044,26.72116742,26.88028621,26.32448699,26.37504261,18.7538608,25.54663168,,,,,,,,,,,,,,-0.336569556,0.168907837,-1.365183681,,,,,,228,306,381,17,249,278,189,196,110,,,,,,,,,,,233,228,110,,,,
TY1B-ML2;TY1B-JR1,TY1B-ML2;TY1B-JR1,Transposon Ty1-ML2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty1-JR1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q03434,Yes,No,1,,,,23.37371588,,,,22.87904772,23.40626418,25.55662871,24.23000695,,,,,24.99511465,,,24.31962031,32.51606718,24.89282145,23.37065974,24.11441975,51.28460464,-0.231059926,,0.856291069,,1.283651604,,0.752251104,,,,,2,,,17,25,44,,,,75,,,47,70,24,41,2,21,44,61,45,,
TY1B-ML1,TY1B-ML1,Transposon Ty1-ML1 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q04711,Yes,No,0,,,,,,,25.50836277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,107,,,,,
TY1B-JR2,TY1B-JR2,Transposon Ty1-JR2 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,P47100,Yes,No,0,32.52978395,32.69077019,32.40075248,32.61539659,8.518719596,32.50843078,32.68034844,32.65759509,32.60721692,5.210701709,32.09200729,32.06795096,32.07775536,32.12660237,1.787908219,32.10543306,32.24552861,32.19806233,32.35218676,7.137877489,32.56826115,32.19104704,32.28203819,14.01443043,0.054222013,0.485622311,-0.468096806,0.000319934,-0.333873111,0.006081216,-0.212060337,0.138092539,13958,15606,12764,1003,13753,15493,15251,14727,10305,10134,10203,10555,10401,11462,11091,12341,14335,11037,11755,10832,14806,10299,11324,12376,,
TY1B-DR3,TY1B-DR3,Transposon Ty1-DR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q99231,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY1B-BR,TY1B-BR,Transposon Ty1-BR Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,Q12193,Yes,No,0,,,,,,,,26.37805641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,196,,,,,
TRZ1,YKR079C,Ribonuclease Z,P36159,Yes,No,5.7,27.45849811,,27.45896738,27.11465803,13.18305234,,26.53691474,,,,,,,,,,27.7006791,27.99334477,27.99501758,11.32285964,,,,,-0.807126434,,,,0.552305977,0.021510206,,,852,,852,45,,450,,,,,,,,1007,1234,1235,,,,583,450,,1159,,,
TRM112,YNR046W,Multifunctional methyltransferase subunit TRM112,P53738,Yes,No,34.8,25.9611098,26.89527388,26.96631252,26.59334667,28.19955378,25.81333106,26.07177461,26.06198469,26.49442153,20.39658669,26.00455327,,,25.88515975,5.848485957,,26.12099782,,26.08620443,1.705242222,25.54989533,26.32637421,26.42310103,29.69498629,-0.493632742,0.116298791,-0.659154204,0.129072818,-0.500409592,0.219150084,-0.504220523,0.216112749,1939,3704,3891,203,1750,2093,2079,2806,1998,,,1839,,2166,,2114,1458,2497,2670,2434,2182,1918,2140,2208,,
TMA46,YOR091W,Translation machinery-associated protein 46,Q12000,Yes,No,45.2,26.45238366,26.30465992,27.77893917,26.849239,51.6057978,26.89885248,25.48179204,26.01797022,25.73608684,47.58505825,26.5767226,,26.5327748,25.9995729,20.71563113,26.83484791,,26.29193285,26.70859369,18.717086,,26.2540556,26.67519125,20.49575019,-0.812630043,0.12285127,-0.476615337,0.309743369,-0.234513953,0.596854519,-0.381682014,0.498694708,1039,938,2606,93,1416,530,769,632,1133,,1099,759,1354,,930,1241,,906,1212,1169,837,997,1175,1059,,
TMA108,YIL137C,Protein TMA108,P40462,Yes,No,37.4,30.844832,31.32940361,31.17712128,31.20623791,13.63923124,31.24790668,31.70404811,31.63996276,31.47918612,13.6113873,31.54282396,31.44712058,31.65965914,31.6874576,7.595110664,31.4965278,31.5905387,31.62169753,31.67189747,5.062046963,31.25732374,31.75130859,31.4402052,17.6112331,0.378377217,0.0402609,0.44486662,0.009108337,0.455766674,0.006046791,0.343547144,0.102249593,8004,11199,10077,696,10584,14520,13889,12425,12985,12151,14080,14354,12575,13422,13715,14200,10654,15004,12093,7494,12855,13393,13478,12584,,
TIS11,YLR136C,mRNA decay factor CTH2,P47977,Yes,Yes,21.1,,,,,,26.90265223,26.32796785,26.28047373,26.21891157,24.07698903,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,1166,1128,1081,,,,,,,,,,,,,1277,,,,,
TIM9,YEL020W-A,Mitochondrial import inner membrane translocase subunit TIM9,O74700,Yes,No,74.7,28.81240712,28.44470397,29.12183773,28.62446299,20.54179963,28.72214514,28.70414708,28.4740201,28.77680769,8.909387393,28.77212622,28.77715271,28.91854828,29.15566674,12.934595,28.42362203,28.83436573,28.41948897,28.39480683,15.66699044,28.51190252,28.61266639,28.22660277,13.4423534,-0.081572948,0.62706423,0.155020534,0.397837942,-0.232782063,0.241431255,-0.30046239,0.186991042,20659,16011,25601,1228,19406,19166,16340,20156,20090,20160,22236,26209,15779,20976,15734,15467,16775,17988,13765,15875,18767,22174,16989,16176,,
TIM8,YJR135W-A,Mitochondrial import inner membrane translocase subunit TIM8,P57744,Yes,No,79.3,27.64464572,27.92467679,27.43141446,27.60109146,14.5593851,27.9498244,28.30591256,28.26333648,28.21502739,10.57418889,28.03133716,28.21470324,28.263023,28.31116354,8.222946912,28.09948843,28.06512182,28.64443944,28.01908445,22.2272971,28.15030131,27.98250553,28.25096974,9.283789321,0.533068099,0.00633947,0.554599627,0.003495579,0.556576429,0.020812876,0.477468421,0.017879598,9608,11667,8288,631,11872,15195,14753,14268,12562,14264,14750,15251,13169,12859,19214,12456,13642,12144,14627,7549,14022,14207,14425,13471,,
TIM13,YGR181W,Mitochondrial import inner membrane translocase subunit TIM13,P53299,Yes,No,66.7,27.99091303,27.69975289,27.71299386,27.61428231,11.82630525,27.41554553,27.97295394,27.59754396,28.08491793,21.36805887,27.61862926,27.8148228,27.02675458,27.77096134,22.45285696,27.8783579,27.91245073,27.45928014,27.72689396,13.66118341,28.00367437,28.00023938,27.98125379,0.835174203,0.013254817,0.942743318,-0.196693527,0.362182578,-0.01023984,0.940542401,0.240570322,0.055744566,10567,8636,8716,551,7092,10437,8045,11279,8164,9353,5417,9073,9774,10008,7310,8800,10661,10636,10497,7118,9213,8002,8973,10598,,
