Systematic Name,NCBI code,Gene Name,Uniprot ID,Annotation,Predicted Number of Zinc Ions Per Monomer,Subcellular Location,Zinc ligands,Structural Zn-site classification,Zinc Function,Zn-binding domain,EC number,Enzyme Class
YOR335C,NP_014980 ,ALA1,P40825,NP_014980.3 alanine--tRNA ligase [Saccharomyces cerevisiae S288c],1,cytosol,"C719, H723, H600, H604",HelicalAnchors,Unknown,tRNA_SAD,6.1.1.7,ligase
YBR218C,NP_009777 ,PYC2,P32327,NP_009777.1 pyruvate carboxylase 2 [Saccharomyces cerevisiae S288c],1,cytosol,"D567, K735, H765, H767",ZincRafts,Catalytic,HMGL-like,6.4.1.1,ligase
YDL125C,NP_010158 ,HNT1,Q04344,NP_010158.1 adenosine 5'-monophosphoramidase [Saccharomyces cerevisiae S288c],1,Unknown,C25-C28-H67-H114,C2H2_ZnFinger,Structural,"DcpS_C,HIT",3.-.-.-,hydrolase
YFR044C,NP_116702 ,DUG1,P43616,NP_116702.1 metallodipeptidase [Saccharomyces cerevisiae S288c],2,cytosol,"H102, D137, E172, D200, H450",NoCluster,Catalytic,Peptidase_M20,3.4.13.-,hydrolase
YER003C,NP_010918 ,PMI40,P29952,NP_010918.1 mannose-6-phosphate isomerase PMI40 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","Q109, H111, E136, H281, E290",ZincRafts,Catalytic,PMI_typeI,5.3.1.8,isomerase
YGL255W,NP_011259 ,ZRT1,P32804,NP_011259.1 high-affinity Zn(2+) transporter ZRT1 [Saccharomyces cerevisiae S288c],N/A,plasma membrane,Unknown,Unknown,Transport,ZIP (Pfam),,
YGR264C,NP_011780 ,MES1,P00958,NP_011780.3 methionine--tRNA ligase MES1 [Saccharomyces cerevisiae S288c],1,cytosol,"C337, C340, C350, C353",ZincRibbon,Structural,tRNA-synt_1g,6.1.1.10,ligase
YNL064C,NP_014335 ,YDJ1,P25491,NP_014335.1 type I HSP40 co-chaperone YDJ1 [Saccharomyces cerevisiae S288c],2,cytosol,"C143, C146, C159, C162, C185, C188, C201, C204",Shuffled_ZnRibbon,Structural,DnaJ_CXXCXGXG,,
YPL237W,NP_015087 ,SUI3,P09064,NP_015087.1 translation initiation factor eIF2 subunit beta [Saccharomyces cerevisiae S288c],1,cytosol,"C236, C239, C259, C262",ZincRibbon,Structural,eIF-5_eIF-2B,,
YNL104C,NP_014295 ,LEU4,P06208,NP_014295.1 2-isopropylmalate synthase LEU4 [Saccharomyces cerevisiae S288c],2,mitochondrion,"D70, H275, H277, N311",ZincRafts,Catalytic,HMGL-like,2.3.3.13,transferase
YLR244C,NP_013345 ,MAP1,Q01662,NP_013345.1 methionine aminopeptidase MAP1 [Saccharomyces cerevisiae S288c],2,cytosol,"D219, D230, H294, E327, E358",ZincRafts,Catalytic,Peptidase_M24,3.4.11.18,hydrolase
YBR286W,NP_009845 ,APE3,P37302,NP_009845.2 Ape3p [Saccharomyces cerevisiae S288c],2,vacuole,"H314, D326, D327, E358, E359, D387, H472",NoCluster,Catalytic,Peptidase_M28,3.4.11.15,hydrolase
YDR429C,NP_010717 ,TIF35,Q04067,NP_010717.1 translation initiation factor eIF3 core subunit g [Saccharomyces cerevisiae S288c],1,cytosol,"C109, C112, H116, C121",ZincRibbon,Structural,eIF3g,,
YLR420W,NP_013524,URA4,P20051,NP_013524.1 dihydroorotase [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","H14, H16",Unknown,Unknown,Unknown,3.5.2.3,hydrolase
YOR168W,NP_014811 ,GLN4,P13188,NP_014811.3 glutamine--tRNA ligase [Saccharomyces cerevisiae S288c],1,cytosol,"C346, C348, C372, H374",Loosened_ZnRibbon,Structural,tRNA-synt_1c,6.1.1.18,ligase
YDL100C,NP_010183 ,GET3,Q12154,NP_010183.1 guanine nucleotide exchange factor GET3 [Saccharomyces cerevisiae S288c],1,ER,"C285, C288",TrebleClef,Structural,ArsA_ATPase,3.6.-.-,hydrolase
YGL037C,NP_011478 ,PNC1,P53184,NP_011478.3 nicotinamidase [Saccharomyces cerevisiae S288c],1,perixisome,"D51, H53, E87, H94, C167",ZincRafts,Catalytic,Isochorismatase,3.5.1.19,hydrolase
YMR083W,NP_013800 ,ADH3,P07246,NP_013800.1 alcohol dehydrogenase ADH3 [Saccharomyces cerevisiae S288c],2,mitochondrion,"C71, H94, E95, C125, C128, C131, C139, D141","ZincNecklaces,  NoCluster","Catalytic,Structural",ADH_N,1.1.1.1,oxidoreductase
YDR127W,NP_010412 ,ARO1,P08566,NP_010412.1 pentafunctional protein ARO1p [Saccharomyces cerevisiae S288c],1,cytosol,"E189, H279, H295",NoCluster,Catalytic,DHQ_synthase,"4.2.3.4, 2.5.1.19, 2.7.1.71, 4.2.1.10, 1.1.1.25","lyase, transferase"
YEL020W-A,NP_010894 ,TIM9,O74700,NP_010894.1 protein transporter TIM9 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C35, C39, C55, C59",Unknown,Structural,zf-Tim10_DDP (Pfam),,
YHR098C,NP_011966 ,SFB3,P38810,NP_011966.1 Sfb3p [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C220, C223, C241, C244",ZincRibbon,Structural,zf-Sec23_Sec24,,
YHR143W-A,NP_012013 ,RPC10,P40422,NP_012013.1 DNA-directed RNA polymerase core subunit RPC10 [Saccharomyces cerevisiae S288c],1,nucleus,"C31, C34, C48, C51",ZincRibbon,Structural,DNA_RNApol_7kD,,
YDL226C,NP_010055 ,GCS1,P35197,NP_010055.1 Gcs1p [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C26, C29, C46, C49",TrebleClef,Structural,ArfGap,,
YPR062W,NP_015387 ,FCY1,Q12178,NP_015387.1 cytosine deaminase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H62, E64, C91, C94","ZincNecklaces,  NoCluster",Catalytic,dCMP_cyt_deam_1,3.5.4.1,hydrolase
YMR318C,NP_014051 ,ADH6,Q04894,NP_014051.3 NADP-dependent alcohol dehydrogenase [Saccharomyces cerevisiae S288c],2,cytosol,"C46, S48, H68, E69, C100, C103, C106, C114","ZincNecklaces,  NoCluster","Catalytic,Structural",ADH_N,1.1.1.2,oxidoreductase
YJR029W,NP_012562,TY1B-JR2,P47100,NP_012562.1 gag-pol fusion protein [Saccharomyces cerevisiae S288c],1,nucleus,"H599, H604, C637, C640",Unknown,Structural,Integrase-type zinc finger-like,"3.4.23.-, 2.7.7.49, 2.7.7.7, 3.1.26.4","hydrolase, transferase"
YJL121C,NP_012414 ,RPE1,P46969,NP_012414.1 ribulose-phosphate 3-epimerase RPE1 [Saccharomyces cerevisiae S288c],1,cytosol,"H34, D36, H80, D185",ZincRafts,Catalytic,Ribul_P_3_epim,5.1.3.1,isomerase
YPR181C,NP_015507 ,SEC23,P15303,NP_015507.1 GTPase-activating protein SEC23 [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C56, C61, C80, C83, C35",ZincRibbon,Structural,zf-Sec23_Sec24,,
YAL060W,NP_009341 ,BDH1,P39714,"NP_009341.2 (R,R)-butanediol dehydrogenase [Saccharomyces cerevisiae S288c]",2,cytosol,"C39, S41, H73, E74, C103, C120, C123, C131","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,1.1.1.4,oxidoreductase
YPL111W,NP_015214,CAR1,P00812,NP_015214.1 arginase [Saccharomyces cerevisiae S288c],1,cytosol,Unknown,Unknown,Unknown,Unknown,3.5.3.1,hydrolase
YNL247W,NP_014152 ,YNL247W,P53852,NP_014152.1 cysteine--tRNA ligase [Saccharomyces cerevisiae S288c],1,cytosol,"C63, C369, H394, E398",HelicalAnchors,Catalytic,tRNA-synt_1e,6.1.1.16,ligase
YDL168W,NP_010113 ,SFA1,P32771,NP_010113.1 bifunctional alcohol dehydrogenase/S-(hydroxymethyl)glutathione dehydrogenase [Saccharomyces cerevisiae S288c],2,cytosol,"C49, H71, E72, C101, C104, C107, C115","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,"1.1.1.284, 1.1.1.1, 1.1.1.-",oxidoreductase
YJL172W,NP_012363 ,CPS1,P27614,NP_012363.1 Gly-Xaa carboxypeptidase [Saccharomyces cerevisiae S288c],2,vacuole,"H168, D205, E240, D268, H547",NoCluster,Catalytic,Peptidase_M20,3.4.17.4,hydrolase
YPL273W,NP_015050 ,SAM4,Q08985,NP_015050.1 S-adenosylmethionine-homocysteine S-methyltransferase SAM4 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C239, N266, C306, C307",NoCluster,Catalytic,S-methyl_trans,2.1.1.10,transferase
YKL157W,NP_012765 ,APE2,P32454,NP_012765.3 metallo-aminopeptidase [Saccharomyces cerevisiae S288c],1,cell wall,"H396, H400, E419",HelicalAnchors,Catalytic,Peptidase_M1,3.4.11.-,hydrolase
YIL137C,NP_012129 ,TMA108,P40462,NP_012129.1 Tma108p [Saccharomyces cerevisiae S288c],1,cytosol,"H330, H334, E353",HelicalAnchors,Catalytic,Peptidase_M1,3.4.11.-,hydrolase
YJR135W-A,NP_058168 ,TIM8,P57744,NP_058168.1 protein transporter TIM8 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C44, C48, C64, C68",Unknown,Structural,zf-Tim10_DDP (Pfam),,
YMR243C,NP_013970,ZRC1,P20107,NP_013970.1 Zn(2+) transporter ZRC1 [Saccharomyces cerevisiae S288c],N/A,vacuole,,,Transport,,,
YNL049C,NP_014349 ,SFB2,P53953,NP_014349.1 COPII subunit SFB2 [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C164, C167, C186, C189",ZincRibbon,Structural,zf-Sec23_Sec24,,
YHR005C-A,NP_011869 ,TIM10,P87108,NP_011869.1 protein transporter TIM10 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C40, C44, C61, C65",Unknown,Structural,zf-Tim10_DDP (Pfam),,
YBR170C,NP_009729 ,NPL4,P33755,NP_009729.1 Npl4p [Saccharomyces cerevisiae S288c],2,"ER, nucleus",C204-H208-C216-C219,Unknown,Structural,zf-NPL4,,
YOR207C,NP_014850 ,RET1,P22276,NP_014850.1 DNA-directed RNA polymerase III core subunit RET1 [Saccharomyces cerevisiae S288c],1,nucleus,"C1095, C1098, C1107, C1110",ZincRibbon,Structural,RNA_pol_Rpb2_7,2.7.7.6,transferase
YGR181W,NP_011697 ,TIM13,P53299,NP_011697.3 protein translocase subunit TIM13 [Saccharomyces cerevisiae S288c],1,mitochondrion,"C57, C61, C73, C77",Unknown,Structural,zf-Tim10_DDP (Pfam),,
YOR341W,NP_014986 ,RPA190,P10964,NP_014986.3 DNA-directed RNA polymerase I core subunit RPA190 [Saccharomyces cerevisiae S288c],2,nucleus,"C62, C65, C72, H75, C102, C105, C233, C236",Loosened_ZnRibbon,Structural,RNA_pol_Rpb1_1,2.7.7.6,transferase
YDL131W,NP_010151 ,LYS21,Q12122,NP_010151.1 homocitrate synthase LYS21 [Saccharomyces cerevisiae S288c],1,nucleus,"E46, H226, H228",ZincRafts,Catalytic,HMGL-like,2.3.3.14,transferase
YOR210W,NP_014853 ,RPB10,P22139,NP_014853.3 DNA-directed RNA polymerase core subunit RPB10 [Saccharomyces cerevisiae S288c],1,nucleus,"C7, C10, C45, C46",TrebleClef,Structural,RNA_pol_N,,
YIL108W,NP_012158 ,YIK8,P40483,NP_012158.1 putative metalloendopeptidase [Saccharomyces cerevisiae S288c],1,cytosol,"H318, H322, H328",Unknown,Unknown,Unknown,3.4.24.-,hydrolase
YDL140C,NP_010141 ,RPO21,P04050,NP_010141.1 DNA-directed RNA polymerase II core subunit RPO21 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C67, Q68, C70, C77, H80, C107, M108, C110, V147, C148, C167",Loosened_ZnRibbon,Structural,RNA_pol_Rpb1_1,2.7.7.6,transferase
YER131W,NP_011057 ,RPS26B,P39939,NP_011057.1 ribosomal 40S subunit protein S26B [Saccharomyces cerevisiae S288c],1,cytosol,"C23, C26, C74, C77",TrebleClef,Structural,Ribosomal_S26e,,
YOR151C,NP_014794 ,RPB2,P08518,NP_014794.3 DNA-directed RNA polymerase II core subunit RPB2 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C1163, C1166, C1182, C1185",ZincRibbon,Structural,RNA_pol_Rpb2_7,2.7.7.6,transferase
YGL187C,NP_011328 ,COX4,P04037,NP_011328.1 cytochrome c oxidase subunit IV [Saccharomyces cerevisiae S288c],1,mitochondrion,"C111, H119, C134, C137",Loosened_ZnRibbon,Structural,COX5B,1.9.3.1,oxidoreductase
YGL043W,NP_011472 ,DST1,P07273,NP_011472.1 Dst1p [Saccharomyces cerevisiae S288c],1,nucleus,"C271, K273, C274, C299, C302",ZincRibbon,Structural,TFIIS_C,,
YER122C,NP_011048 ,GLO3,P38682,NP_011048.1 ADP-ribosylation factor GTPase-activating protein [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C31, C34, C51, C54",TrebleClef,Structural,ArfGap,,
YGR267C,NP_011783 ,FOL2,P51601,NP_011783.1 GTP cyclohydrolase I [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C132, H135, C203",C2H2_ZnFinger,Catalytic,GTP_cyclohydroI,3.5.4.16,hydrolase
YPL212C,NP_015112,PUS1,Q12211,NP_015112.1 pseudouridine synthase PUS1 [Saccharomyces cerevisiae S288c],1,nucleus,Unknown,Unknown,Unknown,Unknown,5.4.99.-,isomerase
YIL109C,NP_012157 ,SEC24,P40482,NP_012157.3 COPII subunit SEC24 [Saccharomyces cerevisiae S288c],1,ER to Golgi,"C231, C234, C253, C256",ZincRibbon,Structural,zf-Sec23_Sec24,,
YFR004W,NP_116659 ,RPN11,P43588,NP_116659.1 proteasome regulatory particle lid subunit RPN11 [Saccharomyces cerevisiae S288c],1,"cytosol,nucleus","H109, H111, D122",C2H2_ZnFinger,Catalytic,"Prok-JAB,JAB",3.4.19.12,hydrolase
YIR008C,NP_012273 ,PRI1,P10363,NP_012273.1 DNA primase subunit PRI1 [Saccharomyces cerevisiae S288c],1,nucleus,"C123, C124, C130, C133",NoCluster,Unknown,DNA_primase_S,2.7.7.-,transferase
YPR010C,NP_015335 ,RPA135,P22138,NP_015335.1 DNA-directed RNA polymerase I core subunit RPA135 [Saccharomyces cerevisiae S288c],1,nucleus,"C1104, C1107",ZincRibbon,Structural,RNA_pol_Rpb2_7,2.7.7.6,transferase
YDR430C,NP_010718 ,CYM1,P32898,NP_010718.1 Cym1p [Saccharomyces cerevisiae S288c],1,mitochondrion,"H84, H88",HelicalAnchors,Catalytic,Peptidase_M16,3.4.24.-,hydrolase
YGR211W,NP_011727 ,ZPR1,P53303,NP_011727.3 zinc finger-containing protein ZPR1 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C54, C57, C83, C86, C295, C298, C324, C327",ZincRibbon,Structural,zf-ZPR1,,
YGL040C,NP_011475 ,HEM2,P05373,NP_011475.1 porphobilinogen synthase HEM2 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C133, C135, C143, D180",NoCluster,Catalytic,ALAD,4.2.1.24,lyase
YDR120C,NP_010405 ,TRM1,P15565,NP_010405.3 tRNA (guanine26-N2)-dimethyltransferase [Saccharomyces cerevisiae S288c],1,nucleus,"C330, C333, C370, C373",ZincRibbon,Structural,TRM,2.1.1.216,transferase
YOL057W,NP_014584 ,DPP3,Q08225,NP_014584.1 dipeptidyl-peptidase III [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H460, H465, E517",HelicalAnchors,Catalytic,Peptidase_M49,3.4.14.4,hydrolase
YNL330C,NP_014069 ,RPD3,P32561,NP_014069.1 histone deacetylase RPD3 [Saccharomyces cerevisiae S288c],1,nucleus,"H38, D184, D186, H188, S207, F208, D274","ZincNecklaces, NoCluster",Catalytic,Hist_deacetyl,3.5.1.98,hydrolase
YGL256W,NP_011258 ,ADH4,P10127,NP_011258.2 alcohol dehydrogenase ADH4 [Saccharomyces cerevisiae S288c],1,mitochondrion,"D195, H199, H264, H278, H275",NoCluster,Catalytic,"Fe-ADH_2,Fe-ADH",1.1.1.1,oxidoreductase
YLR401C,NP_013505,DUS3,Q06053,NP_013505.4 tRNA dihydrouridine synthase DUS3 [Saccharomyces cerevisiae S288c],2,nucleus,"C98, C109, C115, H119, C140, C149, C155, H161",NoCluster,Structural,"C3H1-type, C3H1-type",1.3.1.89,oxidoreductase
YDR272W,NP_010558 ,GLO2,Q05584,NP_010558.3 hydroxyacylglutathione hydrolase GLO2 [Saccharomyces cerevisiae S288c],2,cytosol,"H59, H61, D63, H64, H121, D144, H188",ZincNecklaces,Catalytic,Lactamase_B,3.1.2.6,hydrolase
YFR037C,NP_116695 ,RSC8,P43609,NP_116695.3 Rsc8p [Saccharomyces cerevisiae S288c],1,nucleus,"C260, C263, C283, C286","TrebleClef, C2H2_ZnFinger",Structural,ZZ,,
YJR063W,NP_012597 ,RPA12,P32529,NP_012597.1 DNA-directed RNA polymerase I core subunit RPA12 [Saccharomyces cerevisiae S288c],2,nucleus,"C10, C13, C30, Q32, C33, C86, C89, C114, C117",ZincRibbon,Structural,"RNA_POL_M_15KD,TFIIS_C",,
YGL019W,NP_011496 ,CKB1,P43639,NP_011496.3 casein kinase 2 regulatory subunit CKB1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C156, C161, C184, C187",ZincRibbon,Structural,CK_II_beta,,
YOR316C,NP_014961,COT1,P32798,NP_014961.3 metal cation transporter COT1 [Saccharomyces cerevisiae S288c],N/A,vacuole,,,Transport,,,
YNL141W,NP_014258 ,AAH1,P53909,NP_014258.1 adenine deaminase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H16, H18, H204, D285",NoCluster,Catalytic,A_deaminase,3.5.4.2,hydrolase
YNL045W,NP_014353 ,LAP2,Q10740,NP_014353.1 bifunctional aminopeptidase/epoxide hydrolase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H340, H344, E363",HelicalAnchors,Catalytic,Peptidase_M1,3.3.2.6,hydrolase
YNR046W,NP_014444 ,TRM112,P53738,NP_014444.1 RNA methylation protein TRM112 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C11, C16, C112, C115",Unknown,Unknown,Unknown,,
YFL016C,NP_116638 ,MDJ1,P35191,NP_116638.1 Mdj1p [Saccharomyces cerevisiae S288c],2,mitochondrion,"C230, C233, C247, C250, C269, C272, C285, C288",Shuffled_ZnRibbon,Structural,DnaJ_CXXCXGXG,,
YGR063C,NP_011577 ,SPT4,P32914,NP_011577.3 transcription elongation factor SPT4 [Saccharomyces cerevisiae S288c],1,nucleus,"C7, C10, C24, C27",ZincRibbon,Structural,Spt4,,
YHR132C,NP_012000 ,ECM14,P38836,NP_012000.1 putative metallocarboxypeptidase [Saccharomyces cerevisiae S288c],1,vacuole,"H182, E185, H310",ZincNecklaces,Catalytic,Peptidase_M14,3.4.17.-,hydrolase
YDR481C,NP_010769 ,PHO8,P11491,NP_010769.3 alkaline phosphatase PHO8 [Saccharomyces cerevisiae S288c],2,vacuolar membrane,"D75, S123, D174, T176, E325, D330, H334, D373, H374, H484",NoCluster,Catalytic,Alk_phosphatase,"3.1.3.1, 3.1.3.54, 3.1.7.6",hydrolase
YJR117W,NP_012651 ,STE24,P47154,NP_012651.1 zinc metalloprotease [Saccharomyces cerevisiae S288c],1,ER,"H297, H301, E390, H434",HelicalAnchors,Catalytic,Peptidase_M48,3.4.24.84,hydrolase
YKL112W,NP_012810 ,ABF1,P14164,NP_012810.1 DNA-binding protein ABF1 [Saccharomyces cerevisiae S288c],1,nucleus,C49-C66-C71,Unknown,Unknown,BAF1_ABF1,,
YBR145W,NP_009703 ,ADH5,P38113,NP_009703.3 alcohol dehydrogenase ADH5 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C47, S49, H70, E71, C101, C104, C107, C115","ZincNecklaces, NoCluster","Catalytic,Structural",ADH_N,1.1.1.1,oxidoreductase
YMR214W,NP_013941 ,SCJ1,P25303,NP_013941.2 Scj1p [Saccharomyces cerevisiae S288c],2,ER,"C169, C172, C185, C188, C211, C214, C225, C228",Shuffled_ZnRibbon,Structural,"DnaJ_CXXCXGXG,Anti-TRAP",,
YLR074C,NP_013175 ,BUD20,Q08004,NP_013175.1 Bud20p [Saccharomyces cerevisiae S288c],1,"cytosol,nucleus","C51, C54, H67, H73",C2H2_ZnFinger,Structural,zf-C2H2_jaz,,
YIL044C,NP_012220 ,AGE2,P40529,NP_012220.3 Age2p [Saccharomyces cerevisiae S288c],1,cytosol,"C23, C26, C44, C47",TrebleClef,Structural,ArfGap,,
YAR007C,NP_009404 ,RFA1,P22336,NP_009404.1 replication factor A subunit protein RFA1 [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","C486, C491, C505, C508",ZincRibbon,Structural,Rep_fac-A_C,,
YCL057W,NP_009874 ,PRD1,P25375,NP_009874.1 metalloendopeptidase [Saccharomyces cerevisiae S288c],1,cytosol,"H501, H505, E531",HelicalAnchors,Catalytic,Peptidase_M3,3.4.24.37,hydrolase
YIL021W,NP_012243 ,RPB3,P16370,NP_012243.3 DNA-directed RNA polymerase II core subunit RPB3 [Saccharomyces cerevisiae S288c],1,nucleus,"C86, C88, C92, C95",ZincNecklaces,Structural,RNA_pol_A_bac,,
YHR047C,NP_011913 ,AAP1,P37898,NP_011913.1 arginine/alanine aminopeptidase [Saccharomyces cerevisiae S288c],1,"cytosol, nucleus","H300, H304, E323",HelicalAnchors,Catalytic,Peptidase_M1,3.4.11.-,hydrolase
YHR113W,NP_011981 ,APE4,P38821,NP_011981.1 aspartyl aminopeptidase [Saccharomyces cerevisiae S288c],2,vacuole,"H97, D273, E309, D362, H456",NoCluster,Catalytic,Peptidase_M18,3.4.11.21,hydrolase
YLR163C,NP_013264 ,MAS1,P10507,NP_013264.1 Mas1p [Saccharomyces cerevisiae S288c],1,mitochondrion,"H70, H74, E150",HelicalAnchors,Catalytic,Peptidase_M16,3.4.24.64,hydrolase
YML123C,NP_013583,PHO84,P25297,NP_013583.1.,N/A,plasma membrane,,,Transport,,,
YIL106W,NP_012160 ,MOB1,P40484,NP_012160.2 Mob1p [Saccharomyces cerevisiae S288c],1,cytosol,"C179, C184, H261, H266",C2H2_ZnFinger,Structural,Mob1_phocein,,
YLR116W,NP_013217 ,MSL5,Q12186,NP_013217.1 mRNA splicing protein MSL5 [Saccharomyces cerevisiae S288c],2,"cytosol, nucleus","C299, C302, H307, C312",Shuffled_ZnRibbonII,Structural,zf-CCHC,,
YPR086W,NP_015411 ,SUA7,P29055,NP_015411.1 transcription factor TFIIB [Saccharomyces cerevisiae S288c],1,nucleus,"C24, C27, C45, C48",ZincRibbon,Structural,TF_Zn_Ribbon,,
