!
!Date: 11/09/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
ZAP1	YJL056C	ALG14	YBR070C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ARO1	YDR127W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ASC1	YMR116C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ASP1	YDR321W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	ATG19	YOL082W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ATG41	YPL250C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	ATG41	YPL250C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	BAG7	YOR134W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	BAG7	YOR134W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	CEM1	YER061C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	CIN2	YPL241C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	CKI1	YLR133W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COQ2	YNR041C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	COS1	YNL336W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS1	YNL336W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COS2	YBR302C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS2	YBR302C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COS3	YML132W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS3	YML132W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COS4	YFL062W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS4	YFL062W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COS6	YGR295C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS6	YGR295C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	COS8	YHL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	COS8	YHL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	CSS1	YIL169C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	CTT1	YGR088W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	CUZ1	YNL155W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	DPP1	YDR284C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	DPP1	YDR284C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	DSK2	YMR276W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	EKI1	YDR147W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ENO1	YGR254W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	ENO2	YHR174W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	FET4	YMR319C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	FET4	YMR319C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	FTR1	YER145C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	GIN4	YDR507C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	GPG1	YGL121C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	GPG1	YGL121C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	GRE2	YOL151W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	GRE2	YOL151W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	HNT1	YDL125C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	HOS2	YGL194C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	HPF1	YOL155C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	HSP12	YFL014W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	HSP26	YBR072W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	HSP30	YCR021C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
ZAP1	YJL056C	IZH1	YDR492W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	IZH1	YDR492W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	IZH2	YOL002C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	IZH2	YOL002C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	KEL2	YGR238C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	LAP3	YNL239W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	LDS1	YAL018C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	LOG1	YJL055W		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
ZAP1	YJL056C	LST4	YKL176C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
ZAP1	YJL056C	MCD4	YKL165C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MCD4	YKL165C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MDL1	YLR188W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	MET14	YKL001C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
ZAP1	YJL056C	MET32	YDR253C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MNN14	YJR061W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MNN14	YJR061W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MNT2	YGL257C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MNT2	YGL257C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MOH1	YBL049W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MOH1	YBL049W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	MPC3	YGR243W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	MRPL16	YBL038W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	MUP1	YGR055W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	NRG2	YBR066C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	NRG2	YBR066C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	NRG2	YBR066C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	NVJ1	YHR195W		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
ZAP1	YJL056C	PEP4	YPL154C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PEP4	YPL154C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PHM7	YOL084W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PHM7	YOL084W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PHO89	YBR296C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
ZAP1	YJL056C	PIG2	YIL045W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PIR3	YKL163W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PIS1	YPR113W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PMP3	YDR276C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	POX1	YGL205W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	PRB1	YEL060C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PRC1	YMR297W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PRC1	YMR297W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PST1	YDR055W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	PST1	YDR055W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	PUT4	YOR348C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	RAD27	YKL113C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	RAD27	YKL113C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	RAD54	YGL163C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	RDH54	YBR073W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	RPS11B	YBR048W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	RRT1	YBL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	RRT1	YBL048W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	RSM10	YDR041W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
ZAP1	YJL056C	RTC4	YNL254C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
ZAP1	YJL056C	RTC4	YNL254C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	RTC4	YNL254C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	SAM3	YPL274W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	SCW4	YGR279C	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	SED1	YDR077W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	SEG1	YMR086W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	Other	Frey AG and Eide DJ (2011) PMID:21177862
ZAP1	YJL056C	SEG1	YMR086W	positive	transcription	cellular response to zinc ion starvation	transcription factor	positive	transcription	cellular response to zinc ion starvation	high-throughput	DNA to cDNA expression microarray evidence	W303	Lyons TJ, et al. (2000) PMID:10884426
ZAP1	YJL056C	SEI1	YLR404W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
