!
!Date: 11/28/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
VMA6	YLR447C	VMA21	YGR105W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Ryan M, et al. (2008) PMID:18799613	The authors were interested in examining the V0Vma21p complex in the early stage of assembly in the ER membrane. Therefore, a vph1 deletion strain background was used because partially assembled V0Vma21p complex forms in the ER, but is unable to exit the ER.
VMA6	YLR447C	VMA22	YHR060W	Two-hybrid	high-throughput	Hit	No Modification	BioGRID	Uetz P, et al. (2000) PMID:10688190	
VMA6	YLR447C	VMA22	YHR060W	Two-hybrid	high-throughput	Hit	No Modification	BioGRID	Ito T, et al. (2001) PMID:11283351	
VMA6	YLR447C	VMA22	YHR060W	Two-hybrid	high-throughput	Bait	No Modification	BioGRID	Ito T, et al. (2001) PMID:11283351	
VMA6	YLR447C	VMA22	YHR060W	Two-hybrid	high-throughput	Hit	No Modification	BioGRID	Yu H, et al. (2008) PMID:18719252	
VMA6	YLR447C	VMA4	YOR332W	Two-hybrid	high-throughput	Bait	No Modification	BioGRID	Ito T, et al. (2001) PMID:11283351	
VMA6	YLR447C	VMA4	YOR332W	Protein-peptide	high-throughput	Hit	No Modification	BioGRID	Parsons LS and Wilkens S (2012) PMID:23071676	
VMA6	YLR447C	VMA5	YKL080W	PCA	high-throughput	Hit	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
VMA6	YLR447C	VMA5	YKL080W	Protein-peptide	high-throughput	Hit	No Modification	BioGRID	Parsons LS and Wilkens S (2012) PMID:23071676	
VMA6	YLR447C	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
VMA6	YLR447C	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA6	YLR447C	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA6	YLR447C	VMA7	YGR020C	PCA	high-throughput	Hit	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
VMA6	YLR447C	VMA8	YEL051W	PCA	high-throughput	Hit	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
VMA6	YLR447C	VOA1	YGR106C	PCA	high-throughput	Hit	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Müller O, et al. (2002) PMID:11823419	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Kawasaki-Nishi S, et al. (2001) PMID:11592965	
VMA6	YLR447C	VPH1	YOR270C	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Oluwatosin YE and Kane PM (1998) PMID:9488470	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA6	YLR447C	VPH1	YOR270C	PCA	high-throughput	Bait	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Diepholz M, et al. (2008) PMID:19081055	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Ediger B, et al. (2009) PMID:19473972	
VMA6	YLR447C	VPH1	YOR270C	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Thaker YR, et al. (2009) PMID:19289121	
VMA6	YLR447C	VPH1	YOR270C	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Couoh-Cardel S, et al. (2015) PMID:26416888	
VMA6	YLR447C	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Couoh-Cardel S, et al. (2015) PMID:26416888	
VMA6	YLR447C	VPH1	YOR270C	Co-purification	manually curated	Hit	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA6	YLR447C	VPH2	YKL119C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA6	YLR447C	YAP6	YDR259C	Two-hybrid	high-throughput	Bait	No Modification	BioGRID	Ito T, et al. (2001) PMID:11283351	
VMA6	YLR447C	YOR1	YGR281W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
