Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
CDK1_YEAST,P00546,P00546 CDK1_YEAST Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC28 PE=1 SV=1,CDC28,298,OS=Saccharomyces,1,0.9988,14,33,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,
KPYK1_YEAST,P00549,P00549 KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,CDC19,500,OS=Saccharomyces,1,0.999,55,1234,1137,1234,0,2,5,11,108,56,12,4,1,2,9,10,68,23,17,3,0,6,13,16,232,54,19,10,4,4,12,11,328,136,45,13,
PGK_YEAST,P00560,P00560 PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,PGK1,416,OS=Saccharomyces,1,0.999,12,89,89,89,0,0,0,3,9,11,0,0,0,0,3,2,3,3,0,0,0,0,1,8,6,11,0,0,0,0,4,0,10,15,0,0,
HIS2_YEAST,P00815,P00815 HIS2_YEAST Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3,HIS4,799,OS=Saccharomyces,1,0.999,13,50,49,50,0,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,2,0,0,0,
ATPB_YEAST,P00830,"P00830 ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",ATP2,511,OS=Saccharomyces,1,0.999,10,38,38,38,0,0,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,11,0,0,0,0,0,0,0,15,2,0,
ENO2_YEAST,P00925,P00925 ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,ENO2,437,OS=Saccharomyces,1,0.999,12,142,37,142,0,1,3,9,9,11,0,0,2,2,8,6,5,2,1,1,0,5,6,11,10,7,0,0,1,0,8,6,10,14,3,1,
THDH_YEAST,P00927,"P00927 THDH_YEAST Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2",ILV1,576,OS=Saccharomyces,1,0.999,10,41,41,41,0,0,0,0,4,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,12,0,0,
TRP_YEAST,P00931,P00931 TRP_YEAST Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP5 PE=1 SV=1,TRP5,707,OS=Saccharomyces,1,0.999,18,54,54,54,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,24,3,0,0,
TRPG_YEAST,P00937,P00937 TRPG_YEAST Multifunctional tryptophan biosynthesis protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP3 PE=1 SV=2,TRP3,484,OS=Saccharomyces,1,0.999,13,29,27,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,15,0,0,
TPIS_YEAST,P00942,P00942 TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,TPI1,248,OS=Saccharomyces,1,0.999,6,44,44,44,0,0,0,0,0,1,9,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,5,4,0,0,0,0,0,1,8,3,
PMG1_YEAST,P00950,P00950 PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3,GPM1,247,OS=Saccharomyces,1,0.999,7,49,49,49,0,1,1,1,2,1,3,0,1,1,2,2,1,1,10,1,0,1,1,1,1,1,2,1,1,0,1,0,1,1,7,2,
SYMC_YEAST,P00958,"P00958 SYMC_YEAST Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MES1 PE=1 SV=4",MES1,751,OS=Saccharomyces,1,0.999,13,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,
YPT1_YEAST,P01123,P01123 YPT1_YEAST GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT1 PE=1 SV=2,YPT1,206,OS=Saccharomyces,1,0.9945,6,18,18,18,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,
H4_YEAST,P02309,P02309 H4_YEAST Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHF1 PE=1 SV=2,HHF1,103,OS=Saccharomyces,1,0.9989,2,22,22,22,0,0,0,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,1,0,0,1,
RLA4_YEAST,P02400,P02400 RLA4_YEAST 60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2,RPP2B,110,OS=Saccharomyces,1,0.999,3,15,15,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,
RL28_YEAST,P02406,P02406 RL28_YEAST 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL28 PE=1 SV=3,RPL28,149,OS=Saccharomyces,1,0.9987,5,11,11,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
RS17A_YEAST,P02407,P02407 RS17A_YEAST 40S ribosomal protein S17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS17A PE=1 SV=1,RPS17A,136,OS=Saccharomyces,1,0.999,3,29,0,29,0,0,0,3,0,2,1,2,0,0,2,0,0,0,2,3,0,0,0,2,0,1,0,2,2,0,0,0,1,0,2,4,P14127
TBB_YEAST,P02557,P02557 TBB_YEAST Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2,TUB2,457,OS=Saccharomyces,1,0.999,13,108,108,108,0,0,0,1,6,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,8,1,0,0,0,0,0,14,33,8,1,
EFTU_YEAST,P02992,"P02992 EFTU_YEAST Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1",TUF1,437,OS=Saccharomyces,1,0.9989,6,19,19,19,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,
EF1A_YEAST,P02994,P02994 EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,TEF1,458,OS=Saccharomyces,1,0.999,17,290,290,290,1,2,2,10,12,21,7,1,1,3,6,9,7,15,7,2,0,5,9,9,8,38,9,3,2,1,7,6,10,53,19,5,
REP1_YEAST,P03871,P03871 REP1_YEAST Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP1 PE=1 SV=1,REP1,373,OS=Saccharomyces,1,0.9989,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
CARB_YEAST,P03965,P03965 CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1,CPA2,1118,OS=Saccharomyces,1,0.999,23,68,67,68,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,30,8,1,0,0,0,
PUR1_YEAST,P04046,P04046 PUR1_YEAST Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE4 PE=1 SV=2,ADE4,510,OS=Saccharomyces,1,0.999,9,31,31,31,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0,0,
PABP_YEAST,P04147,"P04147 PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4",PAB1,577,OS=Saccharomyces,1,0.999,10,30,30,30,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,1,0,0,
RL24A_YEAST,P04449,P04449 RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1,RPL24A,155,OS=Saccharomyces,1,0.9987,4,6,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P24000
RL25_YEAST,P04456,P04456 RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4,RPL25,142,OS=Saccharomyces,1,0.9989,4,15,15,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,
SYTC_YEAST,P04801,"P04801 SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2",THS1,734,OS=Saccharomyces,1,0.999,11,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,
DNLI1_YEAST,P04819,P04819 DNLI1_YEAST DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC9 PE=1 SV=2,CDC9,755,OS=Saccharomyces,1,0.9981,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,
CDC25_YEAST,P04821,P04821 CDC25_YEAST Cell division control protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC25 PE=1 SV=1,CDC25,1589,OS=Saccharomyces,1,0.999,15,76,74,76,0,2,11,6,0,0,0,0,0,6,10,3,0,0,0,0,0,10,5,7,0,0,0,0,0,2,5,8,1,0,0,0,
VDAC1_YEAST,P04840,P04840 VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4,POR1,283,OS=Saccharomyces,1,0.999,16,113,113,113,0,0,0,0,0,0,16,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,31,5,
RLA0_YEAST,P05317,P05317 RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,RPP0,312,OS=Saccharomyces,1,0.999,10,54,54,54,0,0,0,0,0,3,3,0,0,0,0,0,0,1,12,0,0,0,0,0,1,2,7,0,0,0,0,0,0,1,23,1,
RLA2_YEAST,P05319,P05319 RLA2_YEAST 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1,RPP2A,106,OS=Saccharomyces,1,0.9987,2,9,9,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
CHO2_YEAST,P05374,P05374 CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1,CHO2,869,OS=Saccharomyces,1,0.999,18,99,81,99,0,0,1,3,3,0,0,0,0,0,4,5,4,0,0,0,0,2,3,16,12,0,0,0,0,0,6,9,26,5,0,0,
RL9A_YEAST,P05738,P05738 RL9A_YEAST 60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL9A PE=1 SV=2,RPL9A,191,OS=Saccharomyces,1,0.9989,4,25,0,25,0,0,0,0,0,1,2,1,0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,5,P51401
RL6B_YEAST,P05739,P05739 RL6B_YEAST 60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4,RPL6B,176,OS=Saccharomyces,1,0.9982,7,28,3,28,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,
RL17A_YEAST,P05740,P05740 RL17A_YEAST 60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL17A PE=1 SV=4,RPL17A,184,OS=Saccharomyces,1,0.999,4,21,0,21,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,5,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,4,P46990
RL33A_YEAST,P05744,P05744 RL33A_YEAST 60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL33A PE=1 SV=3,RPL33A,107,OS=Saccharomyces,1,0.999,4,20,2,20,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7,
RS3_YEAST,P05750,P05750 RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5,RPS3,240,OS=Saccharomyces,1,0.9989,13,56,56,56,0,0,0,2,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,
RS13_YEAST,P05756,P05756 RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3,RPS13,151,OS=Saccharomyces,1,0.9966,5,13,13,13,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,
RS27A_YEAST,P05759,P05759 RS27A_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3,RPS31,152,OS=Saccharomyces,1,0.999,9,185,3,185,0,0,2,9,3,2,2,3,1,1,6,6,6,0,7,1,0,2,11,22,25,13,4,4,1,2,7,5,19,13,6,2,
EIF3B_YEAST,P06103,P06103 EIF3B_YEAST Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRT1 PE=1 SV=1,PRT1,763,OS=Saccharomyces,1,0.999,15,66,66,66,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,15,0,0,0,
MET17_YEAST,P06106,P06106 MET17_YEAST Protein MET17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET17 PE=1 SV=3,MET17,444,OS=Saccharomyces,1,0.999,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
PDC1_YEAST,P06169,P06169 PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7,PDC1,563,OS=Saccharomyces,1,0.999,14,206,170,206,0,3,2,8,19,5,1,0,1,3,7,3,18,3,0,0,1,4,5,6,27,8,0,0,3,2,8,5,37,24,3,0,
CCHL_YEAST,P06182,P06182 CCHL_YEAST Cytochrome c heme lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC3 PE=1 SV=1,CYC3,269,OS=Saccharomyces,1,0.9979,4,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,
KAPB_YEAST,P06245,P06245 KAPB_YEAST cAMP-dependent protein kinase type 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPK2 PE=1 SV=2,TPK2,380,OS=Saccharomyces,1,0.9987,3,4,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
DED1_YEAST,P06634,P06634 DED1_YEAST ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED1 PE=1 SV=2,DED1,604,OS=Saccharomyces,1,0.998,8,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,
RHO1_YEAST,P06780,P06780 RHO1_YEAST GTP-binding protein RHO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO1 PE=1 SV=3,RHO1,209,OS=Saccharomyces,1,0.9988,4,17,17,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,
SNF1_YEAST,P06782,P06782 SNF1_YEAST Carbon catabolite-derepressing protein kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF1 PE=1 SV=1,SNF1,633,OS=Saccharomyces,1,0.999,16,105,105,105,0,0,0,3,17,3,0,0,0,0,0,10,14,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,23,7,0,0,
FAS1_YEAST,P07149,P07149 FAS1_YEAST Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2,FAS1,2051,OS=Saccharomyces,1,0.9981,8,27,27,27,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,9,3,1,0,0,0,
HIS8_YEAST,P07172,P07172 HIS8_YEAST Histidinol-phosphate aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS5 PE=3 SV=2,HIS5,385,OS=Saccharomyces,1,0.999,6,13,13,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,
TOM70_YEAST,P07213,P07213 TOM70_YEAST Mitochondrial import receptor subunit TOM70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM70 PE=1 SV=2,TOM70,617,OS=Saccharomyces,1,0.999,12,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,1,0,0,
PUR2_YEAST,P07244,"P07244 PUR2_YEAST Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1","ADE5,7",802,OS=Saccharomyces,1,0.999,18,58,58,58,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,32,0,1,0,
ADH3_YEAST,P07246,"P07246 ADH3_YEAST Alcohol dehydrogenase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH3 PE=1 SV=2",ADH3,375,OS=Saccharomyces,1,0.999,6,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,0,
ATPA_YEAST,P07251,"P07251 ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5",ATP1,545,OS=Saccharomyces,1,0.999,14,64,64,64,0,0,0,0,1,8,0,0,0,0,0,1,3,2,0,0,0,0,2,2,18,3,0,0,0,0,1,1,3,19,0,0,
CBP6_YEAST,P07253,P07253 CBP6_YEAST Cytochrome B pre-mRNA-processing protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBP6 PE=1 SV=1,CBP6,162,OS=Saccharomyces,1,0.9942,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
QCR1_YEAST,P07256,"P07256 QCR1_YEAST Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COR1 PE=1 SV=1",COR1,457,OS=Saccharomyces,1,0.999,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
QCR2_YEAST,P07257,"P07257 QCR2_YEAST Cytochrome b-c1 complex subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR2 PE=1 SV=1",QCR2,368,OS=Saccharomyces,1,0.9986,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,
PYR1_YEAST,P07259,P07259 PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,URA2,2214,OS=Saccharomyces,1,0.999,65,322,303,322,0,23,4,1,0,0,0,0,0,21,10,0,0,0,0,0,0,92,44,13,4,3,0,0,0,26,64,11,2,3,1,0,
