Visible?,Starred?,Identified Proteins (219/221),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,AFO01,AFO02,AFO03,AFO04,AFO05,AFO06,AFO07,AFO08,AFO09,AFO10,AFO11,AFO12,AFO13
TRUE,Empty,"NDH1_YEAST External NADH-ubiquinone oxidoreductase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDE1 PE=1 SV=1",P40215,,63 kDa,TRUE,unknown,60%,65%,0,82%,100%,61%,81%,53%,87%,100%,89%,0,0
TRUE,Empty,"SYLC_YEAST Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1",P26637,,124 kDa,,unknown,85%,71%,100%,47%,41%,0,56%,74%,42%,0,89%,88%,72%
TRUE,Empty,GEA2_YEAST ARF guanine-nucleotide exchange factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA2 PE=1 SV=1,P39993,,166 kDa,TRUE,unknown,80%,100%,0,63%,77%,0,36%,68%,92%,65%,23%,63%,88%
TRUE,Empty,ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,P00925,,47 kDa,TRUE,unknown,43%,0,66%,17%,100%,80%,61%,65%,79%,53%,79%,0,13%
TRUE,Empty,REG1_YEAST Resistance to glucose repression protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REG1 PE=1 SV=1,Q00816,,113 kDa,,unknown,87%,100%,0,89%,61%,29%,26%,28%,100%,0,54%,82%,0
TRUE,Empty,TCPQ_YEAST T-complex protein 1 subunit theta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT8 PE=1 SV=1,P47079,,62 kDa,,unknown,59%,38%,58%,100%,100%,0,0,74%,0,96%,0,64%,0
TRUE,Empty,AP3B_YEAST AP-3 complex subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APL6 PE=1 SV=2,P46682,,92 kDa,,unknown,74%,54%,98%,100%,0,16%,0,50%,0,0,0,69%,100%
TRUE,Empty,PHO81_YEAST Phosphate system positive regulatory protein PHO81 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO81 PE=1 SV=2,P17442,,134 kDa,,unknown,67%,0,100%,0,45%,0,92%,94%,0,0,0,93%,37%
TRUE,Empty,MON2_YEAST Protein MON2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MON2 PE=1 SV=1,P48563,,187 kDa,,unknown,0,100%,81%,92%,16%,73%,46%,31%,40%,95%,92%,39%,30%
TRUE,Empty,GFA1_YEAST Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GFA1 PE=1 SV=4,P14742,,80 kDa,,unknown,49%,74%,26%,100%,26%,0,86%,69%,0,98%,77%,0,0
TRUE,Empty,P5CR_YEAST Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1,P32263,,30 kDa,,unknown,51%,0,0,44%,0,100%,84%,68%,51%,0,34%,87%,0
TRUE,Empty,MPCP_YEAST Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1,P23641,,33 kDa,,unknown,71%,70%,0,0,62%,100%,0,55%,0,0,33%,97%,0
TRUE,Empty,PHO84_YEAST Inorganic phosphate transporter PHO84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO84 PE=1 SV=2,P25297,,64 kDa,,unknown,0,0,0,77%,100%,42%,0,0,0,100%,100%,42%,0
TRUE,Empty,HMCS_YEAST Hydroxymethylglutaryl-CoA synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG13 PE=1 SV=1,P54839,,55 kDa,,unknown,0,40%,0,0,100%,0,93%,0,73%,0,99%,0,47%
TRUE,Empty,ACT_YEAST Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1,P60010,,42 kDa,,unknown,98%,35%,39%,0,100%,72%,84%,73%,24%,0,100%,82%,76%
TRUE,Empty,TCPE_YEAST T-complex protein 1 subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT5 PE=1 SV=3,P40413,,62 kDa,,unknown,17%,55%,71%,100%,100%,78%,81%,44%,69%,0,70%,0,45%
TRUE,Empty,CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1,P05374,,101 kDa,,unknown,38%,0,71%,100%,58%,88%,93%,90%,60%,95%,0,19%,18%
TRUE,Empty,NMD5_YEAST Nonsense-mediated mRNA decay protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMD5 PE=1 SV=2,P46970,,120 kDa,,unknown,46%,54%,100%,0,0,79%,0,78%,0,85%,0,61%,100%
TRUE,Empty,"ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP2 PE=1 SV=2",P00830,,55 kDa,,unknown,100%,0,50%,54%,100%,0,0,0,92%,62%,39%,0,58%
TRUE,Empty,TCPH_YEAST T-complex protein 1 subunit eta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT7 PE=1 SV=1,P42943,,60 kDa,,unknown,0,40%,58%,0,100%,72%,0,17%,43%,99%,80%,0,0
TRUE,Empty,TBB_YEAST Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2,P02557,,51 kDa,,unknown,15%,91%,12%,29%,100%,0,56%,18%,0,0,71%,0,0
TRUE,Empty,NOT1_YEAST General negative regulator of transcription subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC39 PE=1 SV=3,P25655,,240 kDa,,unknown,40%,100%,66%,92%,37%,92%,93%,0,30%,79%,94%,46%,83%
TRUE,Empty,PDR12_YEAST ATP-dependent permease PDR12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR12 PE=1 SV=1,Q02785,,171 kDa,,unknown,0,47%,100%,32%,47%,69%,89%,86%,92%,49%,48%,75%,15%
TRUE,Empty,COPG_YEAST Coatomer subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC21 PE=1 SV=2,P32074,,105 kDa,,unknown,65%,57%,34%,59%,27%,57%,0,0,73%,82%,81%,88%,100%
TRUE,Empty,GSF2_YEAST Glucose-signaling factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSF2 PE=1 SV=1,Q04697,,46 kDa,,unknown,56%,71%,33%,49%,100%,74%,80%,67%,0,76%,96%,0,0
TRUE,Empty,COX15_YEAST Cytochrome c oxidase assembly protein COX15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX15 PE=3 SV=1,P40086,,55 kDa,,unknown,47%,88%,0,0,31%,100%,0,93%,98%,63%,31%,99%,7%
TRUE,Empty,SEC2_YEAST Rab guanine nucleotide exchange factor SEC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC2 PE=1 SV=1,P17065,,85 kDa,,unknown,66%,17%,0,42%,0,0,93%,95%,0,84%,66%,60%,100%
TRUE,Empty,RPB2_YEAST DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB2 PE=1 SV=2,P08518,,139 kDa,TRUE,unknown,74%,81%,100%,26%,72%,69%,100%,58%,38%,34%,96%,42%,26%
TRUE,Empty,FAS1_YEAST Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2,P07149,,229 kDa,,unknown,83%,100%,57%,10%,19%,93%,94%,49%,33%,0,85%,83%,35%
TRUE,Empty,SEC18_YEAST Vesicular-fusion protein SEC18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC18 PE=1 SV=2,P18759,,84 kDa,,unknown,79%,0,10%,100%,79%,88%,87%,76%,22%,0,18%,80%,90%
TRUE,Empty,YO098_YEAST Uncharacterized protein YOL098C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL098C PE=1 SV=1,Q12496,,118 kDa,,unknown,48%,27%,33%,10%,62%,82%,30%,27%,0,88%,50%,60%,100%
TRUE,Empty,CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1,P03965,,124 kDa,TRUE,unknown,54%,66%,100%,0,0,48%,60%,0,0,85%,63%,57%,70%
TRUE,Empty,IMB3_YEAST Importin subunit beta-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSE1 PE=1 SV=2,P32337,,121 kDa,,unknown,0,0,95%,20%,0,79%,0,67%,70%,86%,64%,20%,100%
TRUE,Empty,URA7_YEAST CTP synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA7 PE=1 SV=2,P28274,,65 kDa,TRUE,unknown,35%,74%,0,100%,6%,30%,94%,69%,38%,35%,70%,41%,0
TRUE,Empty,HXT3_YEAST Low-affinity glucose transporter HXT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT3 PE=1 SV=1,P32466,,63 kDa,TRUE,unknown,49%,0,0,100%,100%,0,37%,94%,0,0,99%,0,99%
TRUE,Empty,YHI0_YEAST Putative proline--tRNA ligase YHR020W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR020W PE=1 SV=1,P38708,,77 kDa,,unknown,78%,0,0,100%,75%,64%,88%,0,36%,55%,0,51%,0
TRUE,Empty,METK1_YEAST S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2,P10659,,42 kDa,TRUE,unknown,0,31%,63%,0,100%,60%,27%,0,0,69%,100%,84%,0
TRUE,Empty,MCM5_YEAST Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM5 PE=1 SV=1,P29496,,86 kDa,,unknown,95%,57%,30%,87%,29%,0,60%,0,81%,66%,100%,98%,99%
TRUE,Empty,TCPG_YEAST T-complex protein 1 subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT3 PE=1 SV=2,P39077,,59 kDa,,unknown,78%,57%,81%,80%,100%,71%,36%,0,0,99%,29%,0,18%
TRUE,Empty,TRM3_YEAST tRNA (guanosine(18)-2'-O)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM3 PE=1 SV=1,Q07527,,165 kDa,,unknown,94%,62%,100%,21%,16%,0,43%,48%,27%,38%,67%,85%,19%
TRUE,Empty,UFD4_YEAST Ubiquitin fusion degradation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFD4 PE=1 SV=1,P33202,,168 kDa,,unknown,19%,100%,0,12%,46%,73%,55%,30%,0,56%,89%,45%,13%
TRUE,Empty,"PUR2_YEAST Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1",P07244,,86 kDa,,unknown,0,37%,57%,100%,0,81%,68%,0,98%,30%,16%,23%,18%
TRUE,Empty,DHH1_YEAST ATP-dependent RNA helicase DHH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DHH1 PE=1 SV=1,P39517,,58 kDa,,unknown,0,41%,0,100%,100%,0,0,45%,0,100%,68%,0,18%
TRUE,Empty,EMP47_YEAST Protein EMP47 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMP47 PE=1 SV=1,P43555,,50 kDa,,unknown,0,30%,0,74%,100%,0,34%,0,0,22%,100%,73%,34%
