Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
CISY1_YEAST,P00890,"P00890 CISY1_YEAST Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2",CIT1,479,OS=Saccharomyces,1,0.9942,3,6,6,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
ENO1_YEAST,P00924,P00924 ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,ENO1,437,OS=Saccharomyces,1,0.999,4,27,27,27,0,0,2,4,0,0,0,0,0,2,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,
ENO2_YEAST,P00925,P00925 ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,ENO2,437,OS=Saccharomyces,1,0.999,20,364,125,364,5,3,18,45,10,1,2,0,11,20,13,25,6,0,1,0,2,15,20,24,7,1,0,0,2,15,14,12,2,0,0,0,2,9,12,25,3,0,3,0,5,3,12,9,5,1,1,0,
TPIS_YEAST,P00942,P00942 TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,TPI1,248,OS=Saccharomyces,1,0.999,6,89,89,89,0,0,2,5,8,6,0,0,1,4,0,1,4,0,0,0,0,4,3,3,5,5,0,0,0,2,2,1,3,3,0,0,0,1,0,2,6,3,0,0,0,0,2,2,5,6,0,0,
PMG1_YEAST,P00950,P00950 PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3,GPM1,247,OS=Saccharomyces,1,0.999,9,112,111,112,1,1,3,4,7,7,1,0,1,3,2,2,10,1,2,0,1,2,2,1,3,7,1,0,0,2,2,1,5,4,1,2,1,1,2,2,8,2,1,1,1,1,2,2,2,6,1,0,
H2B1_YEAST,P02293,P02293 H2B1_YEAST Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTB1 PE=1 SV=2,HTB1,131,OS=Saccharomyces,1,0.9965,5,110,0,110,0,0,2,1,4,1,8,3,3,2,3,3,2,0,10,1,0,2,2,2,2,3,11,1,1,1,3,0,0,0,5,0,1,1,3,4,1,3,11,0,0,0,1,0,1,1,6,1,P02294
H4_YEAST,P02309,P02309 H4_YEAST Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHF1 PE=1 SV=2,HHF1,103,OS=Saccharomyces,1,0.999,6,83,83,83,1,0,0,1,2,2,10,10,3,2,0,2,1,0,8,1,0,0,0,0,0,0,10,0,1,2,0,0,0,0,1,7,0,0,0,4,0,0,6,4,0,0,0,0,0,0,5,0,
RLA4_YEAST,P02400,P02400 RLA4_YEAST 60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2,RPP2B,110,OS=Saccharomyces,1,0.999,3,31,31,31,0,0,0,0,2,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,
RL28_YEAST,P02406,P02406 RL28_YEAST 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL28 PE=1 SV=3,RPL28,149,OS=Saccharomyces,1,0.999,3,42,42,42,0,0,0,5,2,1,3,0,0,1,0,0,1,0,4,0,0,0,0,1,3,1,4,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,3,0,0,0,0,0,2,1,3,0,
RS17A_YEAST,P02407,P02407 RS17A_YEAST 40S ribosomal protein S17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS17A PE=1 SV=1,RPS17A,136,OS=Saccharomyces,1,0.999,8,121,0,121,0,0,2,3,6,1,8,0,0,3,0,2,5,0,12,0,0,2,2,3,4,3,11,0,0,1,3,0,2,3,13,0,0,0,0,2,3,2,7,0,0,0,1,0,4,3,10,0,P14127
TBB_YEAST,P02557,P02557 TBB_YEAST Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2,TUB2,457,OS=Saccharomyces,1,0.999,10,95,95,95,0,0,0,15,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,8,2,0,1,0,0,1,2,17,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,8,2,0,0,0,
EFTU_YEAST,P02992,"P02992 EFTU_YEAST Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1",TUF1,437,OS=Saccharomyces,1,0.9927,3,8,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,
EF1A_YEAST,P02994,P02994 EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,TEF1,458,OS=Saccharomyces,1,0.999,30,837,837,837,6,2,18,127,45,9,7,7,10,16,11,101,28,1,9,2,6,9,16,47,37,8,13,1,6,10,15,17,18,5,5,6,1,3,14,73,22,9,7,2,5,3,9,26,29,9,5,2,
REP1_YEAST,P03871,P03871 REP1_YEAST Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP1 PE=1 SV=1,REP1,373,OS=Saccharomyces,1,0.9849,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
REP2_YEAST,P03872,P03872 REP2_YEAST Partitioning protein REP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REP2 PE=1 SV=1,REP2,296,OS=Saccharomyces,1,0.9966,2,15,15,15,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,
CARB_YEAST,P03965,P03965 CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA2 PE=1 SV=1,CPA2,1118,OS=Saccharomyces,1,0.9961,4,14,14,14,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,
RPB1_YEAST,P04050,P04050 RPB1_YEAST DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO21 PE=1 SV=2,RPO21,1733,OS=Saccharomyces,1,0.9955,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
PABP_YEAST,P04147,"P04147 PABP_YEAST Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4",PAB1,577,OS=Saccharomyces,1,0.999,17,76,76,76,0,0,6,15,0,0,0,0,0,2,9,2,0,0,0,0,0,2,3,9,0,0,0,0,0,1,11,3,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,1,0,0,0,0,
RL24A_YEAST,P04449,P04449 RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1,RPL24A,155,OS=Saccharomyces,1,0.9989,3,18,0,18,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
RL25_YEAST,P04456,P04456 RL25_YEAST 60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL25 PE=1 SV=4,RPL25,142,OS=Saccharomyces,1,0.999,6,88,88,88,0,0,3,4,5,3,7,0,0,2,1,0,3,0,8,0,0,1,1,0,2,4,8,0,0,2,1,0,2,2,6,0,0,0,0,1,2,2,5,0,0,0,0,0,3,4,6,0,
SYTC_YEAST,P04801,"P04801 SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2",THS1,734,OS=Saccharomyces,1,0.9949,5,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,
HXKB_YEAST,P04807,P04807 HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4,HXK2,486,OS=Saccharomyces,1,0.999,9,67,62,67,12,6,11,14,8,6,3,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VDAC1_YEAST,P04840,P04840 VDAC1_YEAST Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4,POR1,283,OS=Saccharomyces,1,0.999,12,159,159,159,0,0,1,1,16,15,0,0,0,0,0,0,14,0,0,0,0,0,0,1,13,21,0,0,0,0,0,0,9,13,0,0,0,0,0,0,16,9,0,0,0,0,0,0,13,17,0,0,
PMA1_YEAST,P05030,P05030 PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2,PMA1,918,OS=Saccharomyces,1,0.999,28,574,148,574,6,4,60,21,9,0,0,0,11,65,14,6,4,0,0,0,7,14,70,7,4,0,0,0,6,27,74,9,8,0,0,0,7,3,55,16,9,0,0,0,10,5,32,5,6,0,0,0,
RLA0_YEAST,P05317,P05317 RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2,RPP0,312,OS=Saccharomyces,1,0.999,10,109,109,109,0,0,3,4,13,0,1,0,0,4,3,2,9,0,0,0,0,2,3,3,12,0,0,0,0,2,6,0,7,0,0,0,0,0,3,5,15,0,0,0,0,0,1,0,11,0,0,0,
CHO2_YEAST,P05374,P05374 CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1,CHO2,869,OS=Saccharomyces,1,0.9988,14,33,28,33,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,0,0,
ERF3_YEAST,P05453,P05453 ERF3_YEAST Eukaryotic peptide chain release factor GTP-binding subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUP35 PE=1 SV=1,SUP35,685,OS=Saccharomyces,1,0.9982,11,51,51,51,0,0,7,0,0,0,0,1,0,8,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,2,0,
ATPF_YEAST,P05626,"P05626 ATPF_YEAST ATP synthase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP4 PE=1 SV=2",ATP4,244,OS=Saccharomyces,1,0.999,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
METE_YEAST,P05694,P05694 METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4,MET6,767,OS=Saccharomyces,1,0.9968,3,7,7,7,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RL7A_YEAST,P05737,P05737 RL7A_YEAST 60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL7A PE=1 SV=3,RPL7A,244,OS=Saccharomyces,1,0.999,15,114,16,114,0,0,5,8,5,10,0,0,0,4,3,4,6,2,0,0,0,3,2,4,2,6,0,0,0,3,4,0,2,5,0,0,0,0,2,4,4,9,0,0,0,0,2,0,2,13,0,0,
RL9A_YEAST,P05738,P05738 RL9A_YEAST 60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL9A PE=1 SV=2,RPL9A,191,OS=Saccharomyces,1,0.999,5,80,0,80,1,0,2,1,5,7,1,0,1,4,2,1,3,2,1,0,0,2,3,1,3,4,3,0,0,1,2,1,1,4,0,0,0,0,3,1,1,8,0,0,1,0,2,1,3,4,0,0,P51401
RL6B_YEAST,P05739,P05739 RL6B_YEAST 60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4,RPL6B,176,OS=Saccharomyces,1,0.9983,11,140,14,140,0,0,3,4,7,14,2,0,0,4,2,3,5,4,1,0,0,2,3,3,3,17,1,0,0,2,2,0,2,6,3,0,0,0,0,2,4,12,0,0,1,0,2,1,3,19,3,0,
RL17A_YEAST,P05740,P05740 RL17A_YEAST 60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL17A PE=1 SV=4,RPL17A,184,OS=Saccharomyces,1,0.999,7,71,1,71,0,0,1,3,3,12,3,0,1,1,1,0,1,0,0,0,0,1,1,0,1,7,2,0,0,1,1,0,0,5,1,0,0,0,1,0,1,8,0,0,0,0,1,0,1,12,1,0,
RL26A_YEAST,P05743,P05743 RL26A_YEAST 60S ribosomal protein L26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL26A PE=1 SV=3,RPL26A,127,OS=Saccharomyces,1,0.9939,2,16,16,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,
RL33A_YEAST,P05744,P05744 RL33A_YEAST 60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL33A PE=1 SV=3,RPL33A,107,OS=Saccharomyces,1,0.9989,6,66,5,66,0,0,5,2,3,2,7,0,0,3,1,1,1,0,9,0,0,0,1,0,4,1,6,0,0,0,1,0,0,1,3,3,0,0,0,1,1,0,5,0,0,0,0,0,1,0,4,0,
RS3_YEAST,P05750,P05750 RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5,RPS3,240,OS=Saccharomyces,1,0.999,16,210,210,210,0,0,12,16,20,0,0,0,0,8,2,9,26,0,0,0,0,6,6,7,20,0,0,0,0,3,5,2,14,0,0,0,0,1,2,14,17,0,0,0,1,0,4,1,13,1,0,0,
RS9B_YEAST,P05755,P05755 RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4,RPS9B,195,OS=Saccharomyces,1,0.999,14,164,10,164,0,0,7,10,13,17,0,1,0,6,3,3,8,5,0,0,0,3,5,4,5,17,1,0,0,3,3,0,3,7,1,0,0,0,1,4,6,12,0,0,1,0,1,0,4,10,0,0,
RS13_YEAST,P05756,P05756 RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3,RPS13,151,OS=Saccharomyces,1,0.9989,5,80,80,80,0,0,4,5,6,3,4,0,0,3,0,1,2,0,6,0,0,1,1,1,1,1,5,0,0,2,2,0,1,1,4,0,0,0,0,4,5,2,5,0,0,0,0,0,2,4,4,0,
RS27A_YEAST,P05759,P05759 RS27A_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3,RPS31,152,OS=Saccharomyces,1,0.999,8,101,14,101,0,0,3,6,5,1,6,2,3,2,4,1,2,0,5,1,1,3,1,2,2,1,3,2,2,4,2,1,1,2,3,2,1,1,2,1,1,2,3,2,3,2,2,2,1,2,3,0,
EIF3B_YEAST,P06103,P06103 EIF3B_YEAST Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRT1 PE=1 SV=1,PRT1,763,OS=Saccharomyces,1,0.9986,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ILV5_YEAST,P06168,"P06168 ILV5_YEAST Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1",ILV5,395,OS=Saccharomyces,1,0.9987,4,28,28,28,0,0,2,6,6,0,0,0,0,1,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
PDC1_YEAST,P06169,P06169 PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7,PDC1,563,OS=Saccharomyces,1,0.999,19,347,302,347,6,3,22,31,15,0,0,0,6,23,18,17,8,0,2,0,5,16,20,21,12,0,1,0,2,12,13,11,5,0,0,0,3,3,9,15,10,0,3,0,3,4,11,8,9,0,0,0,
DED1_YEAST,P06634,P06634 DED1_YEAST ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED1 PE=1 SV=2,DED1,604,OS=Saccharomyces,1,0.999,20,176,126,176,0,0,22,18,1,0,0,0,0,0,33,6,1,0,0,0,0,1,21,8,1,0,0,0,0,0,29,2,0,0,0,0,0,0,23,7,0,0,0,0,3,0,0,0,0,0,0,0,
HIP1_YEAST,P06775,P06775 HIP1_YEAST Histidine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIP1 PE=1 SV=2,HIP1,603,OS=Saccharomyces,1,0.9807,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
RHO1_YEAST,P06780,P06780 RHO1_YEAST GTP-binding protein RHO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO1 PE=1 SV=3,RHO1,209,OS=Saccharomyces,1,0.9798,3,11,11,11,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,
FAS1_YEAST,P07149,P07149 FAS1_YEAST Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2,FAS1,2051,OS=Saccharomyces,1,0.9987,12,37,37,37,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
KAD2_YEAST,P07170,P07170 KAD2_YEAST Adenylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADK1 PE=1 SV=2,ADK1,222,OS=Saccharomyces,1,0.9966,3,10,10,10,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
PUR2_YEAST,P07244,"P07244 PUR2_YEAST Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1","ADE5,7",802,OS=Saccharomyces,1,0.999,14,35,35,35,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATPA_YEAST,P07251,"P07251 ATPA_YEAST ATP synthase subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP1 PE=1 SV=5",ATP1,545,OS=Saccharomyces,1,0.999,15,133,133,133,0,1,5,17,2,0,0,3,2,6,1,16,3,0,0,0,0,3,4,11,1,0,2,0,0,4,1,8,3,1,0,0,0,0,5,17,0,3,0,0,0,0,2,9,1,2,0,0,
