query,subject,query_length,subject_length,query_start,query_end,subject_start,subject_end,score,e_value,identities,positives,gaps
KAP123,NMD5,1113,1048,759,785,573,603,23.5,1.3,11/31 (35%),20/31 (65%),4/31 (13%)
KAP123,NMD5,1113,1048,361,424,99,162,20.8,7.5,13/64 (20%),29/64 (45%),0/64 (0%)
KAP123,SEC7,1113,2009,246,292,1279,1329,28.1,0.053,18/51 (35%),29/51 (57%),4/51 (8%)
KAP123,SEC7,1113,2009,149,177,619,647,20.8,9.5,9/29 (31%),16/29 (55%),0/29 (0%)
KAP123,SEC26,1113,973,62,150,75,166,23.5,1.2,20/96 (21%),39/96 (41%),11/96 (11%)
KAP123,SEC26,1113,973,71,134,860,921,20.8,7.5,20/65 (31%),32/65 (49%),4/65 (6%)
KAP123,SEC26,1113,973,506,565,410,452,20.8,7.7,18/60 (30%),22/60 (37%),17/60 (28%)
KAP123,DOP1,1113,1698,467,520,596,646,22.7,2,17/54 (31%),26/54 (48%),3/54 (6%)
KAP123,DOP1,1113,1698,1021,1047,655,681,21.2,6.7,11/27 (41%),16/27 (59%),0/27 (0%)
KAP123,DOP1,1113,1698,128,223,1302,1399,20.8,8,27/106 (25%),38/106 (36%),18/106 (17%)
KAP123,LAA1,1113,2014,439,544,1107,1202,21.9,4,24/108 (22%),51/108 (47%),14/108 (13%)
KAP123,KAP122,1113,1081,898,980,244,309,21.9,4,16/83 (19%),34/83 (41%),17/83 (20%)
KAP123,KAP122,1113,1081,496,518,802,824,20.8,8.1,6/23 (26%),13/23 (57%),0/23 (0%)
SXM1,NMD5,944,1048,7,926,6,1015,291,0,282/1040 (27%),485/1040 (47%),131/1040 (13%)
SXM1,KAP123,944,1113,4,267,2,242,32.7,0.001,69/279 (25%),115/279 (41%),53/279 (19%)
SXM1,LAA1,944,2014,773,821,1209,1272,24.6,0.42,18/64 (28%),27/64 (42%),15/64 (23%)
SXM1,LAA1,944,2014,518,561,1606,1654,23.1,1.3,17/49 (35%),25/49 (51%),5/49 (10%)
SXM1,LAA1,944,2014,658,686,1431,1464,23.1,1.5,12/34 (35%),22/34 (65%),5/34 (15%)
SXM1,LAA1,944,2014,290,331,1889,1928,20.8,7.7,11/42 (26%),23/42 (55%),2/42 (5%)
SXM1,GCN1,944,2672,111,183,1238,1304,23.9,0.91,19/73 (26%),35/73 (48%),6/73 (8%)
SXM1,GCN1,944,2672,185,234,811,856,21.6,4,16/52 (31%),26/52 (50%),8/52 (15%)
SXM1,GCN1,944,2672,238,289,2403,2463,21.2,6.1,16/61 (26%),26/61 (43%),9/61 (15%)
SXM1,SEC7,944,2009,556,613,278,333,23.1,1.4,16/58 (28%),29/58 (50%),2/58 (3%)
SXM1,SEC7,944,2009,762,788,491,517,21.2,5.7,10/27 (37%),16/27 (59%),0/27 (0%)
SXM1,SEC7,944,2009,587,602,1209,1224,20.8,7.1,8/16 (50%),11/16 (69%),0/16 (0%)
SXM1,KAP122,944,1081,897,942,374,413,21.9,3,12/46 (26%),23/46 (50%),6/46 (13%)
SXM1,DOP1,944,1698,92,133,1368,1404,21.2,5.8,12/42 (29%),23/42 (55%),5/42 (12%)
SEC26,SEC7,973,2009,329,411,1546,1643,28.1,0.047,22/98 (22%),40/98 (41%),15/98 (15%)
SEC26,GCN1,973,2672,217,251,76,112,26.2,0.16,16/37 (43%),20/37 (54%),2/37 (5%)
SEC26,GCN1,973,2672,107,145,1039,1077,24.3,0.69,12/39 (31%),17/39 (44%),0/39 (0%)
SEC26,GCN1,973,2672,135,188,1682,1736,24.3,0.73,14/55 (25%),26/55 (47%),1/55 (2%)
SEC26,GCN1,973,2672,123,170,2537,2588,20.8,6.7,14/52 (27%),25/52 (48%),4/52 (8%)
SEC26,GCN1,973,2672,135,233,1486,1558,20.8,6.8,24/99 (24%),39/99 (39%),26/99 (26%)
SEC26,GCN1,973,2672,827,902,1823,1896,20.8,7.7,21/80 (26%),34/80 (43%),10/80 (13%)
SEC26,KAP123,973,1113,75,166,62,150,23.5,1.1,20/96 (21%),39/96 (41%),11/96 (11%)
SEC26,KAP123,973,1113,860,921,71,134,20.8,6.5,20/65 (31%),32/65 (49%),4/65 (6%)
SEC7,KAP123,2009,1113,1279,1329,246,292,28.1,0.081,18/51 (35%),29/51 (57%),4/51 (8%)
SEC7,SEC26,2009,973,1546,1643,329,411,27.7,0.13,22/98 (22%),40/98 (41%),15/98 (15%)
SEC7,SXM1,2009,944,278,333,556,613,22.7,4.2,16/58 (28%),29/58 (50%),2/58 (3%)
SEC7,GCN1,2009,2672,742,786,1843,1887,22.7,4.5,15/45 (33%),23/45 (51%),0/45 (0%)
SEC7,GCN1,2009,2672,1878,1923,1612,1651,21.6,9.4,14/46 (30%),22/46 (48%),6/46 (13%)
SEC7,LAA1,2009,2014,1724,1764,1535,1576,21.9,7.7,14/42 (33%),25/42 (60%),1/42 (2%)
DOP1,SEC7,1698,2009,863,944,1123,1206,26.6,0.25,22/87 (25%),49/87 (56%),8/87 (9%)
DOP1,LAA1,1698,2014,484,528,1719,1763,25,0.68,15/45 (33%),26/45 (58%),0/45 (0%)
DOP1,KAP122,1698,1081,551,593,751,791,22.7,3.5,12/43 (28%),23/43 (53%),2/43 (5%)
DOP1,KAP122,1698,1081,961,985,333,356,22.7,3.5,11/25 (44%),19/25 (76%),1/25 (4%)
DOP1,KAP122,1698,1081,35,46,248,259,21.2,9.1,6/12 (50%),9/12 (75%),0/12 (0%)
