"","orf_name","min_peps","min_prob","GENENAME","ENTREZID","ENSEMBL","DESCRIPTION","min_crap_expt","status","pma_int","band"
"12","YBL050W",1,80,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",9,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"13","YBL050W",1,80,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",1,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"14","YBL050W",1,80,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",5,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"15","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",5,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"16","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",7,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"17","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",1,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"18","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",11,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"19","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",3,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"20","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",13,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"21","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",9,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"22","YBL050W",1,90,"SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",15,"No Interaction Data","Not A PMA1 Interactor","AFO06"
"23","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",11,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"24","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",13,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"25","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",5,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"26","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",7,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"27","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",9,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"28","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",15,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"29","YBR025C",1,80,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",3,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"30","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",9,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"31","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",15,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"32","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",5,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"33","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",11,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"34","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",13,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"35","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",7,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"36","YBR025C",1,90,"OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",3,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"37","YBR031W",1,80,"RPL4A","852319","YBR031W","Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication",15,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"38","YBR031W",1,90,"RPL4A","852319","YBR031W","Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication",15,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"39","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",11,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"40","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",15,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"41","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",9,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"42","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",7,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"43","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",3,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"44","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",5,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"45","YBR039W",1,80,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",13,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"46","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",5,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"47","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",13,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"48","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",11,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"49","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",15,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"50","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",3,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"51","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",7,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"52","YBR039W",1,90,"ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",9,"Interaction Data Present","Not A PMA1 Interactor","AFO06"
"53","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",5,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"54","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",11,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"55","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",15,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"56","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",9,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"57","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",13,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"58","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",3,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"59","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",1,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"60","YBR069C",1,80,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",7,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"61","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",11,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"62","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",3,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"63","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",9,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"64","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",7,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"65","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",13,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"66","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",5,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"67","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",1,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"68","YBR069C",1,90,"TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",15,"Interaction Data Present","Not A PMA1 Interactor","AFO05"
"69","YBR079C",1,80,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",11,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"70","YBR079C",1,80,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",13,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"71","YBR079C",1,80,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",15,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"72","YBR079C",1,80,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",9,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"73","YBR079C",1,80,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",7,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"74","YBR079C",1,90,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",9,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"75","YBR079C",1,90,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",13,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"76","YBR079C",1,90,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",7,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"77","YBR079C",1,90,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",15,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"78","YBR079C",1,90,"RPG1","852371","YBR079C","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",11,"Interaction Data Present","Not A PMA1 Interactor","AFO03"
"79","YBR080C",1,80,"SEC18","852372","YBR080C","AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",15,"Interaction Data Present","Not A PMA1 Interactor","AFO04"
"80","YBR080C",1,80,"SEC18","852372","YBR080C","AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",5,"Interaction Data Present","Not A PMA1 Interactor","AFO04"
"81","YBR080C",1,80,"SEC18","852372","YBR080C","AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",7,"Interaction Data Present","Not A PMA1 Interactor","AFO04"
