"","gene","pep_cnt","pep_cov","ORF","SGD","DESCRIPTION","degree","pep_cnt_n","pep_cov_n","degree_n","score"
"203","TIF1",5,0.034,"YKR059W","S000001767","Translation initiation factor eIF4A; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G; protein abundance increases in response to DNA replication stress; TIF1 has a paralog, TIF2, that arose from the whole genome duplication",54,0.128205128205128,0.255,0.568421052631579,0.951626180836707
"56","FAS1",3,0.00333333333333333,"YKL182W","S000001665","Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities",79,0.0769230769230769,0.025,0.831578947368421,0.933502024291498
"123","OLA1",2,0.0125,"YBR025C","S000000229","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress",74,0.0512820512820513,0.09375,0.778947368421053,0.923979419703104
"16","ATP2",7,0.0425,"YJR121W","S000003882","Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",39,0.179487179487179,0.31875,0.410526315789474,0.908763495276653
"159","RPT5",3,0.022,"YOR117W","S000005643","ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1",63,0.0769230769230769,0.165,0.663157894736842,0.905080971659919
"125","PDC1",5,0.0325,"YLR044C","S000004034","Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose-, ethanol-, and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo",49,0.128205128205128,0.24375,0.515789473684211,0.887744601889339
"117","NPA3",5,0.032,"YJR072C","S000003833","Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kinase complex; human homolog XAB1 interacts with human RNA polymerase II; protein abundance increases in response to DNA replication stress",49,0.128205128205128,0.24,0.515789473684211,0.883994601889339
"152","RPL4A",2,0.02,"YBR031W","S000000235","Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication",62,0.0512820512820513,0.15,0.652631578947368,0.85391363022942
"189","SSE1",2,0.008,"YPL106C","S000006027","ATPase component of heat shock protein Hsp90 chaperone complex; serves as nucleotide exchange factor to load ATP onto the SSA class of cytosolic Hsp70s; plays a role in prion propagation and determining prion variants; binds unfolded proteins; member of Hsp110 subclass of HSP70 proteins; deletion results in spindle elongation in S phase; SSE1 has a paralog, SSE2, that arose from the whole genome duplication",68,0.0512820512820513,0.06,0.715789473684211,0.827071524966262
"214","URA7",4,0.016,"YBL039C","S000000135","Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication",56,0.102564102564103,0.12,0.589473684210526,0.812037786774629
"188","SSC1",6,0.0566666666666667,"YJR045C","S000003806","Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication",21,0.153846153846154,0.425,0.221052631578947,0.799898785425101
"4","ADE5,7",6,0.025,"YGL234W","S000003203","Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities",41,0.153846153846154,0.1875,0.431578947368421,0.772925101214575
"199","TCP1",5,0.06,"YDR212W","S000002620","Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein",18,0.128205128205128,0.45,0.189473684210526,0.767678812415654
"113","NEW1",4,0.008,"YPL226W","S000006147","ATP binding cassette protein; cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports [NU+] prion formation and susceptibility to [PSI+] prion induction",56,0.102564102564103,0.06,0.589473684210526,0.752037786774629
"24","CCT6",3,0.0366666666666667,"YDR188W","S000002596","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif",38,0.0769230769230769,0.275,0.4,0.751923076923077
"230","YMC1",2,0.09,"YPR058W","S000006262","Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication",2,0.0512820512820513,0.675,0.0210526315789474,0.747334682860999
"142","PRS5",3,0.03,"YOL061W","S000005422","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress",42,0.0769230769230769,0.225,0.442105263157895,0.744028340080972
"36","CPA2",2,0.0075,"YJR109C","S000003870","Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor",60,0.0512820512820513,0.05625,0.631578947368421,0.739110998650472
"228","YHR020W",4,0.0175,"YHR020W",NA,NA,48,0.102564102564103,0.13125,0.505263157894737,0.739077260458839
"140","PRS1",3,0.03,"YKL181W","S000001664","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease",41,0.0769230769230769,0.225,0.431578947368421,0.733502024291498
"65","GET3",5,0.05,"YDL100C","S000002258","Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress",21,0.128205128205128,0.375,0.221052631578947,0.724257759784076
"217","VMA1",7,0.0133333333333333,"YDL185W","S000002344","Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner",42,0.179487179487179,0.1,0.442105263157895,0.721592442645074
"82","IDH2",2,0.04,"YOR136W","S000005662","Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated",34,0.0512820512820513,0.3,0.357894736842105,0.709176788124157
"179","SER1",2,0.03,"YOR184W","S000005710","3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress",37,0.0512820512820513,0.225,0.389473684210526,0.665755735492578
"222","WRS1",3,0.025,"YOL097C","S000005457","Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant",38,0.0769230769230769,0.1875,0.4,0.664423076923077
"233","YRB1",2,0.075,"YDR002W","S000002409","Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1",4,0.0512820512820513,0.5625,0.0421052631578947,0.655887314439946
"31","CHC1",12,0.018,"YGL206C","S000003174","Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function",19,0.307692307692308,0.135,0.2,0.642692307692308
"191","SSZ1",2,0.01,"YHR064C","S000001106","Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP",49,0.0512820512820513,0.075,0.515789473684211,0.642071524966262
"150","RPB2",2,0.00333333333333333,"YOR151C","S000005677","RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit",52,0.0512820512820513,0.025,0.547368421052632,0.623650472334683
"12","ARO2",3,0.022,"YGL148W","S000003116","Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress",36,0.0769230769230769,0.165,0.378947368421053,0.62087044534413
"207","TRM3",6,0.008,"YDL112W","S000002270","2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs",38,0.153846153846154,0.06,0.4,0.613846153846154
"151","RPG1",2,0.006,"YBR079C","S000000283","eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough",49,0.0512820512820513,0.045,0.515789473684211,0.612071524966262
"232","YPK1",2,0.02,"YKL126W","S000001609","S/T protein kinase; phosphorylates, downregulates flippase activator Fpk1p; inactivates Orm1p and Orm2p by phosphorylation in response to compromised sphingolipid synthesis; involved in the TORC-dependent phosphorylation of ribosomal proteins Rps6a/b (S6); mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; human homolog SGK1 can complement a null mutant; human homolog SGK2 can complement a ypk1 ypk2 double mutant",38,0.0512820512820513,0.15,0.4,0.601282051282051
"60","GCD1",2,0.008,"YOR260W","S000005786","Gamma subunit of the translation initiation factor eIF2B; the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression",45,0.0512820512820513,0.06,0.473684210526316,0.584966261808367
"84","ILV1",2,0.01,"YER086W","S000000888","Threonine deaminase, catalyzes first step in isoleucine biosynthesis; expression is under general amino acid control; ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation",43,0.0512820512820513,0.075,0.452631578947368,0.57891363022942
"219","VMA6",2,0.04,"YLR447C","S000004439","Subunit d of the V0 integral membrane domain of V-ATPase; part of the electrogenic proton pump found in the endomembrane system; required for V1 domain assembly on the vacuolar membrane; the V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase) has five subunits",21,0.0512820512820513,0.3,0.221052631578947,0.572334682860999
"63","GDE1",5,0.00833333333333333,"YPL110C","S000006031","Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes",36,0.128205128205128,0.0625,0.378947368421053,0.569652496626181
"67","GGA2",2,0.05,"YHR108W","S000001150","Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication",13,0.0512820512820513,0.375,0.136842105263158,0.563124156545209
"64","GEA2",5,0.0125,"YEL022W","S000000748","Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication",32,0.128205128205128,0.09375,0.336842105263158,0.558797233468286
"94","LCB2",3,0.02,"YDR062W","S000002469","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",31,0.0769230769230769,0.15,0.326315789473684,0.553238866396761
"1","ACS2",3,0.0266666666666667,"YLR153C","S000004143","Acetyl-coA synthetase isoform; along with Acs1p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions",25,0.0769230769230769,0.2,0.263157894736842,0.540080971659919
"211","UFD4",5,0.008,"YKL010C","S000001493","Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress",32,0.128205128205128,0.06,0.336842105263158,0.525047233468286
"17","ATP3",3,0.04,"YBR039W","S000000243","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",14,0.0769230769230769,0.3,0.147368421052632,0.524291497975709
"102","MDN1",3,0.00166666666666667,"YLR106C","S000004096","Huge dynein-related AAA-type ATPase (midasin); forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p); acts in removal of ribosomal biogenesis factors at successive steps of pre-60S assembly and export from nucleus",41,0.0769230769230769,0.0125,0.431578947368421,0.521002024291498
"30","CDC60",2,0.004,"YPL160W","S000006081","Cytosolic leucyl tRNA synthetase; ligates leucine to the appropriate tRNA; human homolog LARS can complement yeast temperature-sensitive mutant at restrictive temperature",41,0.0512820512820513,0.03,0.431578947368421,0.512860998650472
"55","ERG9",3,0.035,"YHR190W","S000001233","Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway",16,0.0769230769230769,0.2625,0.168421052631579,0.507844129554656
"176","SEC61",2,0.04,"YLR378C","S000004370","Conserved ER protein translocation channel; essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms channel for SRP-dependent protein import; with Sec63 complex allows SRP-independent protein import into ER; involved in posttranslational soluble protein import into the ER, ERAD of soluble substrates, and misfolded soluble protein export from the ER",13,0.0512820512820513,0.3,0.136842105263158,0.488124156545209
"193","SUI3",2,0.035,"YPL237W","S000006158","Beta subunit of the translation initiation factor eIF2; involved in the identification of the start codon; proposed to be involved in mRNA binding",15,0.0512820512820513,0.2625,0.157894736842105,0.471676788124157
"183","SPF1",7,0.0133333333333333,"YEL031W","S000000757","P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1",18,0.179487179487179,0.1,0.189473684210526,0.468960863697706
"108","MSN5",4,0.00666666666666667,"YDR335W","S000002743","Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog",29,0.102564102564103,0.05,0.305263157894737,0.457827260458839
"23","CCT5",7,0.02,"YJR064W","S000003825","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo",12,0.179487179487179,0.15,0.126315789473684,0.455802968960864
"132","PHO81",6,0.02,"YGR233C","S000003465","Cyclin-dependent kinase (CDK) inhibitor; regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; inhibitory activity for Pho80p-Pho85p requires myo-D-inositol heptakisphosphate (IP7) generated by Vip1p; relative distribution to the nucleus increases upon DNA replication stress",12,0.153846153846154,0.15,0.126315789473684,0.430161943319838
"215","VAC8",4,0.0266666666666667,"YEL013W","S000000739","Phosphorylated and palmitoylated vacuolar membrane protein; interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions",9,0.102564102564103,0.2,0.0947368421052632,0.397300944669366
"57","FKS1",4,0.0075,"YLR342W","S000004334","Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog, GSC2, that arose from the whole genome duplication",22,0.102564102564103,0.05625,0.231578947368421,0.390393049932524
"131","PGK1",2,0.0225,"YCR012W","S000000605","3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis",16,0.0512820512820513,0.16875,0.168421052631579,0.38845310391363
"59","FTR1",2,0.035,"YER145C","S000000947","High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress",7,0.0512820512820513,0.2625,0.0736842105263158,0.387466261808367
"53","ERG3",2,0.025,"YLR056W","S000004046","C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D",13,0.0512820512820513,0.1875,0.136842105263158,0.375624156545209
"20","CCC1",2,0.04,"YLR220W","S000004210","Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress",2,0.0512820512820513,0.3,0.0210526315789474,0.372334682860999
"93","LCB1",2,0.0166666666666667,"YMR296C","S000004911","Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",18,0.0512820512820513,0.125,0.189473684210526,0.365755735492578
"149","RNR2",3,0.016,"YJL026W","S000003563","Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication",16,0.0769230769230769,0.12,0.168421052631579,0.365344129554656
"221","VTC4",4,0.0125,"YJL012C","S000003549","Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress",16,0.102564102564103,0.09375,0.168421052631579,0.364735155195682
"227","YHM2",2,0.0233333333333333,"YMR241W","S000004854","Citrate and oxoglutarate carrier protein; exports citrate from and imports oxoglutarate into the mitochondrion, causing net export of NADPH reducing equivalents; also associates with mt nucleoids and has a role in replication and segregation of the mt genome",13,0.0512820512820513,0.175,0.136842105263158,0.363124156545209
"21","CCT2",3,0.014,"YIL142W","S000001404","Subunit beta of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo",17,0.0769230769230769,0.105,0.178947368421053,0.36087044534413
"91","KAP95",4,0.0175,"YLR347C","S000004339","Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p",12,0.102564102564103,0.13125,0.126315789473684,0.360129892037787
"134","PHO91",3,0.02,"YNR013C","S000005296","Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth",12,0.0769230769230769,0.15,0.126315789473684,0.353238866396761
"54","ERG5",3,0.0166666666666667,"YMR015C","S000004617","C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs",14,0.0769230769230769,0.125,0.147368421052632,0.349291497975708
"100","MCM6",4,0.0125,"YGL201C","S000003169","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p",14,0.102564102564103,0.09375,0.147368421052632,0.343682523616734
"120","NUP133",6,0.015,"YKR082W","S000001790","Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133",7,0.153846153846154,0.1125,0.0736842105263158,0.34003036437247
"169","SEC17",2,0.0366666666666667,"YBL050W","S000000146","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP",1,0.0512820512820513,0.275,0.0105263157894737,0.336808367071525
"51","ERG1",2,0.01,"YGR175C","S000003407","Squalene epoxidase; catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine; human SQLE functionally complements the lethality of the erg1 null mutation",20,0.0512820512820513,0.075,0.210526315789474,0.336808367071525
"208","TRP5",2,0.01,"YGL026C","S000002994","Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis",19,0.0512820512820513,0.075,0.2,0.326282051282051
"170","SEC18",2,0.006,"YBR080C","S000000284","AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",21,0.0512820512820513,0.045,0.221052631578947,0.317334682860999
