"orf_name","row","column","cor","num_obs","gene1","gene2","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"YGR096W","chr2_614024","chr7_676621",0.842871711306679,1985,"YBR196C-A","YGR096W","S000003328","852988","TPC1","YGR096W","Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family"
"YGR106C","chr2_614024","chr7_698989",0.841377436455898,1986,"YBR196C-A","YGR106C","S000003338","852998","VOA1","YGR106C","ER protein that functions in assembly of the V0 sector of V-ATPase; functions with other assembly factors; null mutation enhances the vacuolar ATPase (V-ATPase) deficiency of a vma21 mutant impaired in endoplasmic reticulum (ER) retrieval"
"YLR242C","chr2_614024","chr12_622918",0.838463168145184,1986,"YBR196C-A","YLR242C","S000004232","850943","ARV1","YLR242C","Cortical ER protein; implicated in the membrane insertion of tail-anchored C-terminal single transmembrane domain proteins; may function in transport of glycosylphosphatidylinositol intermediates into the ER lumen; required for normal intracellular sterol distribution; human ARV1, required for normal cholesterol and bile acid homeostasis, can complement yeast arv1 null mutant; human variant causing early onset epileptic encephalopathy is unable to rescue the yeast null"
"YMR013C","chr2_614024","chr13_295179",0.838212118951555,1986,"YBR196C-A","YMR013C","S000004615","855026","SEC59","YMR013C","Dolichol kinase; catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation"
"YDR352W","chr2_614024","chr4_1181801",0.835717447047917,1986,"YBR196C-A","YDR352W","S000002760","851954","YPQ2","YDR352W","Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter"
"YOR270C","chr2_614024","chr15_828052",0.83466706019771,1986,"YBR196C-A","YOR270C","S000005796","854444","VPH1","YOR270C","Subunit a of vacuolar-ATPase V0 domain; one of two isoforms (Vph1p and Stv1p); Vph1p is located in V-ATPase complexes of the vacuole while Stv1p is located in V-ATPase complexes of the Golgi and endosomes; relative distribution to the vacuolar membrane decreases upon DNA replication stress; human homolog ATP6V0A4 implicated in renal tubular acidosis, can complement yeast null mutant"
"YOR034C-A","chr2_614024","chr15_397426",0.833978139465404,1930,"YBR196C-A","YOR034C-A","S000028856","1466482",NA,"YOR034C-A","Putative protein of unknown function; identified by expression profiling and mass spectrometry"
"YPL218W","chr2_614024","chr16_138698",0.833533976949056,1986,"YBR196C-A","YPL218W","S000006139","855883","SAR1","YPL218W","ARF family GTPase; component of the COPII vesicle coat; required for transport vesicle formation during ER to Golgi protein transport; lowers membrane rigidity aiding vesicle formation; localizes to ER-mitochondrial contact sites where it enhances membrane curvature, thereby reducing contact size via its N-terminal amphipathic helix; regulates mitochondrial fission and fusion dynamics"
"YDR400W","chr2_614024","chr4_1270949",0.831487148602351,1986,"YBR196C-A","YDR400W","S000002808","852009","URH1","YDR400W","Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways"
"YKR088C","chr2_614024","chr11_604405",0.831483993875649,1986,"YBR196C-A","YKR088C","S000001796","853963","TVP38","YKR088C","Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; required for asymmetric localization of Kar9p during mitosis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern"
"YAL053W","chr1_45899","chr2_614024",0.829890043473071,1986,"YAL053W","YBR196C-A","S000000049","851246","FLC2","YAL053W","Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
"YMR119W-A","chr2_614024","chr13_506996",0.828137467725071,1985,"YBR196C-A","YMR119W-A","S000004726",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 3' end of ORF ASI1/YMR119W"
"YBR004C","chr2_244366","chr2_614024",0.827463412824163,1986,"YBR004C","YBR196C-A","S000000208","852289","GPI18","YBR004C","Functional ortholog of human PIG-V; PIG-V is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria"
"YMR221C","chr2_614024","chr13_713931",0.826221494546333,1986,"YBR196C-A","YMR221C","S000004834","855261","FMP42","YMR221C","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; physical interaction with Atg27p suggests a possible role in autophagy"
"YLR229C","chr2_614024","chr12_604212",0.825972564081002,1986,"YBR196C-A","YLR229C","S000004219","850930","CDC42","YLR229C","Small rho-like GTPase; essential for establishment and maintenance of cell polarity; plays a role late in cell fusion via activation of key cell fusion regulator Fus2p; mutants have defects in the organization of actin and septins; human homolog CDC42 can complement yeast cdc42 mutant"
"YBL082C","chr2_69751","chr2_614024",0.825254576975415,1984,"YBL082C","YBR196C-A","S000000178","852196","ALG3","YBL082C","Dolichol-P-Man dependent alpha(1-3) mannosyltransferase; involved in synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins; G353A missense mutation in human ortholog ALG3 implicated in carbohydrate deficient glycoprotein syndrome type IV, which is characterized by microcephaly, severe epilepsy, minimal psychomotor development, partial deficiency of sialic acids in serum glycoproteins; wild-type human ALG3 can complement yeast alg3 mutant"
"YOR015W","chr2_614024","chr15_359993",0.824489267879922,1985,"YBR196C-A","YOR015W","S000005541","854180",NA,NA,"Putative protein of unknown function; conserved among S. cerevisiae strains; YOR015W is not an essential gene"
"YBR036C","chr2_309081","chr2_614024",0.823347853460069,1986,"YBR036C","YBR196C-A","S000000240","852324","CSG2","YBR036C","Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress"
"YNL275W","chr2_614024","chr14_119268",0.823062807148549,1986,"YBR196C-A","YNL275W","S000005219","855446","BOR1","YNL275W","Boron efflux transporter of the plasma membrane; binds HCO3-, I-, Br-, NO3- and Cl-; has similarity to the characterized boron efflux transporter A. thaliana BOR1"
"YCR017C","chr2_614024","chr3_144773",0.822400637100585,1986,"YBR196C-A","YCR017C","S000000610","850376","CWH43","YCR017C","GPI lipid remodelase; responsible for introducing ceramides into GPI anchors having a C26:0 fatty acid in sn-2 of the glycerol moiety; can also use lyso-GPI protein anchors and various base resistant lipids as substrates; contains 14-16 transmembrane segments and several putative glycosylation and phosphorylation sites; null mutation is synthetically lethal with pkc1 deletion"
"YOR149C","chr2_614024","chr15_609838",0.82165285075085,1981,"YBR196C-A","YOR149C","S000005675","854320","SMP3","YOR149C","Alpha 1,2-mannosyltransferase; involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure"
"YKL176C","chr2_614024","chr11_115500",0.821604432504556,1986,"YBR196C-A","YKL176C","S000001659","853678","LST4","YKL176C","Subunit of the Lst4p-Lst7p GTPase activating protein complex for Gtr2p; stimulates the GTPase activity of Rag family GTPase Gtr2p, within the context of the Gtr1p-Gtr2p heterodimer, after amino acid stimulation; required for activation of TORC1 in response to amino acid stimulation; recruited to the vacuolar membrane during amino acid starvation and released from the membrane by TORC1; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface"
"YPR165W","chr2_614024","chr16_875368",0.820852599967328,1986,"YBR196C-A","YPR165W","S000006369","856294","RHO1","YPR165W","GTP-binding protein of the rho subfamily of Ras-like proteins; involved in establishment of cell polarity; regulates protein kinase C (Pkc1p) and the cell wall synthesizing enzyme 1,3-beta-glucan synthase (Fks1p and Gsc2p)"
"YGR216C","chr2_614024","chr7_922633",0.818418390009766,1986,"YBR196C-A","YGR216C","S000003448","853130","GPI1","YGR216C","Membrane protein involved in the synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; human and mouse GPI1p are functional homologs"
"YGL084C","chr2_614024","chr7_350616",0.817587270595041,1986,"YBR196C-A","YGL084C","S000003052","852796","GUP1","YGL084C","Plasma membrane protein involved in remodeling GPI anchors; member of the MBOAT family of putative membrane-bound O-acyltransferases; role in misfolded protein quality control; proposed to be involved in glycerol transport; homolog of the mammalian Hedgehog pathway modulator HHATL; GUP1 has a paralog, GUP2, that arose from the whole genome duplication"
"YDL231C","chr2_614024","chr4_38867",0.817301326023998,1986,"YBR196C-A","YDL231C","S000002390","851367","BRE4","YDL231C","Zinc finger protein containing five transmembrane domains; null mutant exhibits strongly fragmented vacuoles and sensitivity to brefeldin A, a drug which is known to affect intracellular transport"
"YEL009C","chr2_614024","chr5_138918",0.817232130257376,1986,"YBR196C-A","YEL009C","S000000735","856709","GCN4","YEL009C","bZIP transcriptional activator of amino acid biosynthetic genes;  activator responds to amino acid starvation; expression is tightly regulated at both the transcriptional and translational levels"
"YJL094C","chr2_614024","chr10_251821",0.816921642783812,1986,"YBR196C-A","YJL094C","S000003630","853351","KHA1","YJL094C","Putative K+/H+ antiporter; has a probable role in intracellular cation homeostasis; localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies"
"YGL001C","chr2_614024","chr7_495453",0.815692110469809,1986,"YBR196C-A","YGL001C","S000002969","852883","ERG26","YGL001C","C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; human homolog NSDHL implicated in CK syndrome, and can complement yeast null mutant; molecular target of natural product and antifungal compound FR171456"
"YLR122C","chr2_614024","chr12_390954",0.815397217955221,1899,"YBR196C-A","YLR122C","S000004112","850813",NA,NA,"Putative protein of unknown function; conserved among S. cerevisiae strains; partially overlaps dubious ORF YLR123C"
"YNL003C","chr2_614024","chr14_624975",0.815155333432952,1986,"YBR196C-A","YNL003C","S000004948","855729","PET8","YNL003C","S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth"
"YER021W","chr2_614024","chr5_196948",0.814898186624205,1986,"YBR196C-A","YER021W","S000000823","856742","RPN3","YER021W","Essential non-ATPase regulatory subunit of the 26S proteasome lid; similar to the p58 subunit of the human 26S proteasome; temperature-sensitive alleles cause metaphase arrest, suggesting a role for the proteasome in cell cycle control"
"YML126C","chr2_614024","chr13_19060",0.814778912574798,1985,"YBR196C-A","YML126C","S000004595","854913","ERG13","YML126C","3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase; catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis"
"YDL187C","chr2_614024","chr4_125509",0.814414297896046,1709,"YBR196C-A","YDL187C","S000002346",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"YLR450W","chr2_614024","chr12_1032627",0.814333383098078,1986,"YBR196C-A","YLR450W","S000004442","851171","HMG2","YLR450W","HMG-CoA reductase; converts HMG-CoA to mevalonate, a rate-limiting step in sterol biosynthesis; one of two isozymes; overproduction induces assembly of peripheral ER membrane arrays and short nuclear-associated membrane stacks; forms foci at nuclear periphery upon DNA replication stress; HMG2 has a paralog, HMG1, that arose from the whole genome duplication; human homolog HMGCR can complement yeast hmg2 mutant"
"YPR058W","chr2_614024","chr16_673751",0.814294669561724,1986,"YBR196C-A","YPR058W","S000006262","856171","YMC1","YPR058W","Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication"
"YLL031C","chr2_614024","chr12_77152",0.813408024759977,1985,"YBR196C-A","YLL031C","S000003954","850628","GPI13","YLL031C","ER membrane localized phosphoryltransferase; adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein"
"YCL002C","chr2_614024","chr3_110808",0.813380340202283,1986,"YBR196C-A","YCL002C","S000000508","850353",NA,"YCL002C","Putative protein of unknown function; YCL002C is not an essential gene"
"YFL045C","chr2_614024","chr6_43628",0.812550003015067,1986,"YBR196C-A","YFL045C","S000001849","850499","SEC53","YFL045C","Phosphomannomutase; involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"
"YPL076W","chr2_614024","chr16_410443",0.812414916456443,1986,"YBR196C-A","YPL076W","S000005997","856029","GPI2","YPL076W","Protein involved in the synthesis of GlcNAc-PI; GlcNAc-PI is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; homologous to the human PIG-C protein; GlcNAc-PI stands for N-acetylglucosaminyl phosphatidylinositol"
"YOR122C","chr2_614024","chr15_552298",0.812273670750103,1986,"YBR196C-A","YOR122C","S000005648","854289","PFY1","YOR122C","Profilin; binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress; protein abundance increases in response to DNA replication stress; highly conserved protein; human PFN1 (profilin 1) complements temperature sensitive pfy1 mutants, PFN1 mutations are a rare cause of ALS"
"YKL126W","chr2_614024","chr11_205707",0.812130046497246,1986,"YBR196C-A","YKL126W","S000001609","853733","YPK1","YKL126W","S/T protein kinase; phosphorylates, downregulates flippase activator Fpk1p; inactivates Orm1p and Orm2p by phosphorylation in response to compromised sphingolipid synthesis; involved in the TORC-dependent phosphorylation of ribosomal proteins Rps6a/b (S6); mutations affect receptor-mediated endocytosis and sphingolipid-mediated and cell integrity signaling pathways; human homolog SGK1 can complement a null mutant; human homolog SGK2 can complement a ypk1 ypk2 double mutant"
"YNL268W","chr2_614024","chr14_138550",0.811968156540678,1974,"YBR196C-A","YNL268W","S000005212","855453","LYP1","YNL268W","Lysine permease; one of three amino acid permeases (Alp1p, Can1p, Lyp1p) responsible for uptake of cationic amino acids"
"YNL319W","chr2_614024","chr14_38642",0.811713250501707,1468,"YBR196C-A","YNL319W","S000005263",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HXT14"
"YNL189W","chr2_614024","chr14_284260",0.811182829522203,1986,"YBR196C-A","YNL189W","S000005133","855532","SRP1","YNL189W","Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation"
"YOR103C","chr2_614024","chr15_516449",0.811081536398235,1986,"YBR196C-A","YOR103C","S000005629","854270","OST2","YOR103C","Epsilon subunit of the oligosaccharyltransferase complex; located in the ER lumen; catalyzes asparagine-linked glycosylation of newly synthesized proteins"
"YMR149W","chr2_614024","chr13_560996",0.809757137091621,1978,"YBR196C-A","YMR149W","S000004757","855180","SWP1","YMR149W","Delta subunit of the oligosaccharyl transferase glycoprotein complex; complex is required for N-linked glycosylation of proteins in the endoplasmic reticulum"
"YAR023C","chr1_179281","chr2_614024",0.809455732281836,1976,"YAR023C","YBR196C-A","S000000074","851276",NA,"YAR023C","Putative integral membrane protein; member of DUP240 gene family"
"YNR019W","chr2_614024","chr14_665339",0.809349584796142,1986,"YBR196C-A","YNR019W","S000005302","855753","ARE2","YNR019W","Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication"
"YBL020W","chr2_182401","chr2_614024",0.808832527073626,1986,"YBL020W","YBR196C-A","S000000116","852261","RFT1","YBL020W","Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene"
"YMR238W","chr2_614024","chr13_746353",0.808612704679997,1986,"YBR196C-A","YMR238W","S000004851","855278","DFG5","YMR238W","Putative mannosidase; essential glycosylphosphatidylinositol (GPI)-anchored membrane protein required for cell wall biogenesis in bud formation, involved in filamentous growth, homologous to Dcw1p"
"YGL048C","chr2_614024","chr7_410069",0.808202254660783,1986,"YBR196C-A","YGL048C","S000003016","852834","RPT6","YGL048C","ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle; protein abundance increases in response to DNA replication stress"
"YLR447C","chr2_614024","chr12_1026856",0.808173172002014,1986,"YBR196C-A","YLR447C","S000004439","851168","VMA6","YLR447C","Subunit d of the V0 integral membrane domain of V-ATPase; part of the electrogenic proton pump found in the endomembrane system; required for V1 domain assembly on the vacuolar membrane; the V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase) has five subunits"
"YGL200C","chr2_614024","chr7_122694",0.807776990377676,1986,"YBR196C-A","YGL200C","S000003168","852675","EMP24","YGL200C","Component of the p24 complex; role in misfolded protein quality control; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles"
"YDR249C","chr2_614024","chr4_958681",0.807298886258964,1986,"YBR196C-A","YDR249C","S000002657","851836",NA,"YDR249C","Putative protein of unknown function"
"YOL030W","chr2_614024","chr15_268187",0.806810597392409,1981,"YBR196C-A","YOL030W","S000005390","854127","GAS5","YOL030W","1,3-beta-glucanosyltransferase; has similarity to Gas1p; localizes to the cell wall"
"YOR142W","chr2_614024","chr15_593057",0.806786779052374,1986,"YBR196C-A","YOR142W","S000005668","854310","LSC1","YOR142W","Alpha subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate; phosphorylated"
"YPL189W","chr2_614024","chr16_189154",0.806504696330096,1984,"YBR196C-A","YPL189W","S000006110","855912","GUP2","YPL189W","Probable membrane protein; possible role in proton symport of glycerol; member of the MBOAT family of putative membrane-bound O-acyltransferases; homolog of the mammalian Hedgehog pathway modulator HHAT; GUP2 has a paralog, GUP1, that arose from the whole genome duplication"
"YGL142C","chr2_614024","chr7_236269",0.806325811276817,1986,"YBR196C-A","YGL142C","S000003110","852735","GPI10","YGL142C","Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog"
"YKL157W","chr2_614024","chr11_154991",0.80604680141979,1986,"YBR196C-A","YKL157W","S000001640","853699","APE2","YKL157W","Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication"
"YCL017C","chr2_614024","chr3_92777",0.805714485327728,1986,"YBR196C-A","YCL017C","S000000522","850343","NFS1","YCL017C","Cysteine desulfurase; involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria"
"YCR028C","chr2_614024","chr3_170886",0.804947513656094,1986,"YBR196C-A","YCR028C","S000000623","850394","FEN2","YCR028C","Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph; relocalizes from vacuole to cytoplasm upon DNA replication stress"
"YGR073C","chr2_614024","chr7_635615",0.804826402970756,1948,"YBR196C-A","YGR073C","S000003305",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensively overlaps essential SMD1 gene encoding a U6 snRNP protein"
"YDR381W","chr2_614024","chr4_1236558",0.804347082764669,1986,"YBR196C-A","YDR381W","S000002789","851988","YRA1","YDR381W","Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member"
"YOR251C","chr2_614024","chr15_802550",0.804232003062796,1986,"YBR196C-A","YOR251C","S000005777","854425","TUM1","YOR251C","Rhodanese domain sulfur transferase; accepts persulfite from Nfs1p and transfers it to Uba4p in the pathway for 2-thiolation of the wobble uridine base of tRNAs; also stimulates sulfur transfer by Nfs1p; may be mitochondrially localized"
"YDR090C","chr2_614024","chr4_625066",0.802653783934165,1986,"YBR196C-A","YDR090C","S000002497","851664",NA,"YDR090C","Putative protein of unknown function"
"YPL179W","chr2_614024","chr16_208157",0.802630735779227,1986,"YBR196C-A","YPL179W","S000006100","855923","PPQ1","YPL179W","Protein phosphatase that regulates the mating response; negatively regulates the MAP kinase signaling cascade during mating; member of the serine/threonine phosphatase PP1 family"
"YDR456W","chr2_614024","chr4_1367485",0.802425178026344,1986,"YBR196C-A","YDR456W","S000002864","852066","NHX1","YDR456W","Na+/H+ and K+/H+ exchanger; required for intracellular sequestration of Na+ and K+; located in the vacuole and late endosome compartments; required for osmotolerance to acute hypertonic shock and for vacuolar fusion; ortholog of human NHE9, which is linked to autism"
"YLR227C","chr2_614024","chr12_590562",0.802402998001828,1986,"YBR196C-A","YLR227C","S000004217","850924","ADY4","YLR227C","Structural component of the meiotic outer plaque; outer plaque is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane"
"YDR205W","chr2_614024","chr4_859298",0.802283369152276,1986,"YBR196C-A","YDR205W","S000002613","851786","MSC2","YDR205W","Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids"
"YMR155W","chr2_614024","chr13_568551",0.802278734345852,1986,"YBR196C-A","YMR155W","S000004764","855187",NA,"YMR155W","Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen"
"YBR235W","chr2_614024","chr2_686901",0.801941551384724,1986,"YBR196C-A","YBR235W","S000000439","852537","VHC1","YBR235W","Vacuolar membrane cation-chloride cotransporter (CCC); likely mediates K+ and Cl- cotransport into the vacuole; has a role in potassium homeostasis and salt tolerance; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family"
"YKL104C","chr2_614024","chr11_243220",0.801195826619745,1986,"YBR196C-A","YKL104C","S000001587","853757","GFA1","YKL104C","Glutamine-fructose-6-phosphate amidotransferase; catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis; GFA1 has a paralogous region, comprising ORFs YMR084W-YMR085W, that arose from the whole genome duplication"
"YML085C","chr2_614024","chr13_97941",0.800734276799167,1986,"YBR196C-A","YML085C","S000004550","854889","TUB1","YML085C","Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication"
"YDL016C","chr2_614024","chr4_425570",0.800711521997495,1911,"YBR196C-A","YDL016C","S000002174",NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CDC7/YDL153C, the catalytic subunit of a complex that regulates DNA replication"
"YKL207W","chr2_614024","chr11_48107",0.799744846779996,1986,"YBR196C-A","YKL207W","S000001690","853628","EMC3","YKL207W","Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111"
"YBR287W","chr2_614024","chr2_776571",0.799678398388521,1986,"YBR196C-A","YBR287W","S000000491","852590",NA,"YBR287W","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER; YBR287W is not an essential gene"
"YNL320W","chr2_614024","chr14_37700",0.799615484942525,1986,"YBR196C-A","YNL320W","S000005264","855396",NA,"YNL320W","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"YDR427W","chr2_614024","chr4_1322205",0.799571038840704,1986,"YBR196C-A","YDR427W","S000002835","852037","RPN9","YDR427W","Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia"
