"","GENENAME","ENTREZID","ENSEMBL","DESCRIPTION","min_peps","min_prob","min_crap_expt","orf_name","status","pma_int"
"630","LCB1","855342","YMR296C","Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","1","YMR296C","Interaction Data Present","Not A PMA1 Interactor"
"643","LCB2","851634","YDR062W","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","1","YDR062W","Interaction Data Present","Not A PMA1 Interactor"
"673","MDL1","850885","YLR188W","Mitochondrial inner membrane half-type ABC transporter; mediates export of peptides generated upon proteolysis of mitochondrial proteins; plays a role in the regulation of cellular resistance to oxidative stress","1","80","1","YLR188W","Interaction Data Present","Not A PMA1 Interactor"
"704","MNN5","853253","YJL186W","Alpha-1,2-mannosyltransferase; responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment","1","80","1","YJL186W","Interaction Data Present","Not A PMA1 Interactor"
"708","MON2","855420","YNL297C","Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins","1","80","1","YNL297C","Interaction Data Present","Not A PMA1 Interactor"
"722","MSN5","851935","YDR335W","Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog","1","80","1","YDR335W","Interaction Data Present","Not A PMA1 Interactor"
"738","NDI1","854919","YML120C","NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy","1","80","1","YML120C","Interaction Data Present","Not A PMA1 Interactor"
"823","NUP188","854868","YML103C","Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188","1","80","1","YML103C","Interaction Data Present","Not A PMA1 Interactor"
"882","OLE1","852825","YGL055W","Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria","1","80","1","YGL055W","Interaction Data Present","Not A PMA1 Interactor"
"903","PDR12","856049","YPL058C","Plasma membrane ATP-binding cassette (ABC) transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity","1","80","1","YPL058C","No Interaction Data","Not A PMA1 Interactor"
"944","PHO81","853148","YGR233C","Cyclin-dependent kinase (CDK) inhibitor; regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; inhibitory activity for Pho80p-Pho85p requires myo-D-inositol heptakisphosphate (IP7) generated by Vip1p; relative distribution to the nucleus increases upon DNA replication stress","1","80","1","YGR233C","Interaction Data Present","Not A PMA1 Interactor"
"959","PHO91","855747","YNR013C","Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth","1","80","1","YNR013C","Interaction Data Present","Not A PMA1 Interactor"
"999","PRS1","853654","YKL181W","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease","1","80","1","YKL181W","Interaction Data Present","Not A PMA1 Interactor"
"1048","QRI1","851455","YDL103C","UDP-N-acetylglucosamine pyrophosphorylase; catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis; protein abundance increases in response to DNA replication stress","1","80","1","YDL103C","Interaction Data Present","Not A PMA1 Interactor"
"1154","SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP","1","80","1","YBL050W","No Interaction Data","Not A PMA1 Interactor"
"1195","SEC61","851095","YLR378C","Conserved ER protein translocation channel; essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms channel for SRP-dependent protein import; with Sec63 complex allows SRP-independent protein import into ER; involved in posttranslational soluble protein import into the ER, ERAD of soluble substrates, and misfolded soluble protein export from the ER","1","80","1","YLR378C","Interaction Data Present","Not A PMA1 Interactor"
"1202","SER1","854356","YOR184W","3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress","1","80","1","YOR184W","Interaction Data Present","Not A PMA1 Interactor"
"1243","SEY1","854336","YOR165W","Dynamin-like GTPase that mediates homotypic ER fusion; has a role in ER morphology; interacts physically and genetically with Yop1p and Rtn1p; functional ortholog of the human atlastin ATL1, defects in which cause a form of the human disease hereditary spastic paraplegia; homolog of Arabidopsis RHD3","1","80","1","YOR165W","Interaction Data Present","Not A PMA1 Interactor"
"1273","SPF1","856681","YEL031W","P-type ATPase, ion transporter of the ER membrane; required to maintain normal lipid composition of intracellular compartments and proper targeting of mitochondrial outer membrane tail-anchored proteins; involved in ER function and Ca2+ homeostasis; required for regulating Hmg2p degradation; confers sensitivity to a killer toxin (SMKT) produced by Pichia farinosa KK1","1","80","1","YEL031W","Interaction Data Present","Not A PMA1 Interactor"
"1334","TAT1","852361","YBR069C","Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress","1","80","1","YBR069C","Interaction Data Present","Not A PMA1 Interactor"
"1402","TOM1","852068","YDR457W","E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase","1","80","1","YDR457W","Interaction Data Present","Not A PMA1 Interactor"
"1428","TPO3","856279","YPR156C","Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog, TPO2, that arose from the whole genome duplication","1","80","1","YPR156C","Interaction Data Present","Not A PMA1 Interactor"
"1449","TRM3","851446","YDL112W","2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs","1","80","1","YDL112W","Interaction Data Present","Not A PMA1 Interactor"
"1523","UFD4","853859","YKL010C","Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; cytoplasmic E3 involved in the degradation of ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress","1","80","1","YKL010C","Interaction Data Present","Not A PMA1 Interactor"
"1567","VAC8","856702","YEL013W","Phosphorylated and palmitoylated vacuolar membrane protein; interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions","1","80","1","YEL013W","Interaction Data Present","Not A PMA1 Interactor"
"1656","WRS1","854056","YOL097C","Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant","1","80","1","YOL097C","No Interaction Data","Not A PMA1 Interactor"
"1677","YBR287W",NA,NA,NA,"1","80","1","YBR287W","Interaction Data Present","Not A PMA1 Interactor"
"1715","YKL100C",NA,NA,NA,"1","80","1","YKL100C","Interaction Data Present","Not A PMA1 Interactor"
"1735","YMC1","856171","YPR058W","Secondary mitochondrial inner membrane glycine transporter; required with HEM25 for the transport of glycine into mitochondria for the initiation of heme biosynthesis; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; localizes to the vacuole in response to H2O2; YMC1 has a paralog, YMC2, that arose from the whole genome duplication","1","80","1","YPR058W","Interaction Data Present","Not A PMA1 Interactor"
"1760","YRB1","851565","YDR002W","Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1","1","80","1","YDR002W","Interaction Data Present","Not A PMA1 Interactor"
"52","ARO2","852729","YGL148W","Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress","1","80","3","YGL148W","Interaction Data Present","Not A PMA1 Interactor"
"57","ARP3","853528","YJR065C","Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity","1","80","3","YJR065C","Interaction Data Present","Not A PMA1 Interactor"
"96","ATP3","852327","YBR039W","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis","1","80","3","YBR039W","Interaction Data Present","Not A PMA1 Interactor"
"131","CCC1","850917","YLR220W","Vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation; relative distribution to the vacuole decreases upon DNA replication stress","1","80","3","YLR220W","Interaction Data Present","Not A PMA1 Interactor"
"155","CCT5","853527","YJR064W","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo","1","80","3","YJR064W","Interaction Data Present","Not A PMA1 Interactor"
"178","CCT6","851768","YDR188W","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif","1","80","3","YDR188W","Interaction Data Present","Not A PMA1 Interactor"
"187","CDC39","850455","YCR093W","Subunit of the CCR4-NOT1 core complex; this complex has multiple roles in the regulation of mRNA levels including regulation of transcription and destabilization of mRNA by deadenylation; basal transcription factor that increases initiation and elongation; activates the ATPase activity of Dhh1p, resulting in processing body disassembly","1","80","3","YCR093W","Interaction Data Present","Not A PMA1 Interactor"
"195","CDC60","855943","YPL160W","Cytosolic leucyl tRNA synthetase; ligates leucine to the appropriate tRNA; human homolog LARS can complement yeast temperature-sensitive mutant at restrictive temperature","1","80","3","YPL160W","Interaction Data Present","Not A PMA1 Interactor"
"236","CPA2","853573","YJR109C","Large subunit of carbamoyl phosphate synthetase; carbamoyl phosphate synthetase catalyzes a step in the synthesis of citrulline, an arginine precursor","1","80","3","YJR109C","Interaction Data Present","Not A PMA1 Interactor"
"254","DOP1","851719","YDR141C","Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies","1","80","3","YDR141C","Interaction Data Present","Not A PMA1 Interactor"
"279","ERG1","853086","YGR175C","Squalene epoxidase; catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine; human SQLE functionally complements the lethality of the erg1 null mutation","1","80","3","YGR175C","Interaction Data Present","Not A PMA1 Interactor"
"291","ERG3","850745","YLR056W","C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D","1","80","3","YLR056W","Interaction Data Present","Not A PMA1 Interactor"
"307","ERG5","855029","YMR015C","C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs","1","80","3","YMR015C","Interaction Data Present","Not A PMA1 Interactor"
"330","ERG9","856597","YHR190W","Farnesyl-diphosphate farnesyl transferase (squalene synthase); joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway","1","80","3","YHR190W","Interaction Data Present","Not A PMA1 Interactor"
"366","FTR1","856888","YER145C","High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress","1","80","3","YER145C","Interaction Data Present","Not A PMA1 Interactor"
"367","GCD1","854434","YOR260W","Gamma subunit of the translation initiation factor eIF2B; the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression","1","80","3","YOR260W","Interaction Data Present","Not A PMA1 Interactor"
"431","GEA2","856691","YEL022W","Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; GEA2 has a paralog, GEA1, that arose from the whole genome duplication","1","80","3","YEL022W","Interaction Data Present","Not A PMA1 Interactor"
"439","GET3","851458","YDL100C","Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress","1","80","3","YDL100C","Interaction Data Present","Not A PMA1 Interactor"
"477","GGA2","856508","YHR108W","Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication","1","80","3","YHR108W","Interaction Data Present","Not A PMA1 Interactor"
"491","GNP1","852121","YDR508C","High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication","1","80","3","YDR508C","Interaction Data Present","Not A PMA1 Interactor"
"495","GPA1","856394","YHR005C","Subunit of the G protein involved in pheromone response; GTP-binding alpha subunit of the heterotrimeric G protein; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome; protein abundance increases in response to DNA replication stress","1","80","3","YHR005C","Interaction Data Present","Not A PMA1 Interactor"
"511","GPD1","851539","YDL022W","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import","1","80","3","YDL022W","Interaction Data Present","Not A PMA1 Interactor"
"532","GYP5","855827","YPL249C","GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication","1","80","3","YPL249C","Interaction Data Present","Not A PMA1 Interactor"
"550","HIP1","853104","YGR191W","High-affinity histidine permease; also involved in the transport of manganese ions","1","80","3","YGR191W","Interaction Data Present","PMA1 Interactor"
"591","ILV1","856819","YER086W","Threonine deaminase, catalyzes first step in isoleucine biosynthesis; expression is under general amino acid control; ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation","1","80","3","YER086W","Interaction Data Present","Not A PMA1 Interactor"
"628","LCB1","855342","YMR296C","Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","3","YMR296C","Interaction Data Present","Not A PMA1 Interactor"
"644","LCB2","851634","YDR062W","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","1","80","3","YDR062W","Interaction Data Present","Not A PMA1 Interactor"
"657","MCM6","852673","YGL201C","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p","1","80","3","YGL201C","Interaction Data Present","Not A PMA1 Interactor"
"663","MDL1","850885","YLR188W","Mitochondrial inner membrane half-type ABC transporter; mediates export of peptides generated upon proteolysis of mitochondrial proteins; plays a role in the regulation of cellular resistance to oxidative stress","1","80","3","YLR188W","Interaction Data Present","Not A PMA1 Interactor"
"698","MNN5","853253","YJL186W","Alpha-1,2-mannosyltransferase; responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment","1","80","3","YJL186W","Interaction Data Present","Not A PMA1 Interactor"
"710","MON2","855420","YNL297C","Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of proteins","1","80","3","YNL297C","Interaction Data Present","Not A PMA1 Interactor"
"729","MSN5","851935","YDR335W","Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog","1","80","3","YDR335W","Interaction Data Present","Not A PMA1 Interactor"
"744","NDI1","854919","YML120C","NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy","1","80","3","YML120C","Interaction Data Present","Not A PMA1 Interactor"
"759","NPA3","853535","YJR072C","Member of the conserved GPN-loop GTPase family; has a role in transport of RNA polymerase II to the nucleus; exhibits GTP-dependent binding to PolII; has ATPase activity; involved in sister chromatid cohesion; phosphorylated by the Pcl1p-Pho85p kinase complex; human homolog XAB1 interacts with human RNA polymerase II; protein abundance increases in response to DNA replication stress","1","80","3","YJR072C","Interaction Data Present","Not A PMA1 Interactor"
"811","NUP133","853957","YKR082W","Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133","1","80","3","YKR082W","Interaction Data Present","Not A PMA1 Interactor"
"822","NUP188","854868","YML103C","Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188","1","80","3","YML103C","Interaction Data Present","Not A PMA1 Interactor"
"855","NUP192","853410","YJL039C","Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205","1","80","3","YJL039C","No Interaction Data","Not A PMA1 Interactor"
"868","OLA1","852313","YBR025C","P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress","1","80","3","YBR025C","Interaction Data Present","Not A PMA1 Interactor"
"884","OLE1","852825","YGL055W","Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria","1","80","3","YGL055W","Interaction Data Present","Not A PMA1 Interactor"
"908","PDR12","856049","YPL058C","Plasma membrane ATP-binding cassette (ABC) transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity","1","80","3","YPL058C","No Interaction Data","Not A PMA1 Interactor"
"929","PHO81","853148","YGR233C","Cyclin-dependent kinase (CDK) inhibitor; regulates Pho80p-Pho85p and Pcl7p-Pho85p cyclin-CDK complexes in response to phosphate levels; inhibitory activity for Pho80p-Pho85p requires myo-D-inositol heptakisphosphate (IP7) generated by Vip1p; relative distribution to the nucleus increases upon DNA replication stress","1","80","3","YGR233C","Interaction Data Present","Not A PMA1 Interactor"
"954","PHO91","855747","YNR013C","Low-affinity vacuolar phosphate transporter; exports phosphate from the vacuolar lumen to the cytosol; regulates phosphate and polyphosphate metabolism; acts upstream of Pho81p in regulation of the PHO pathway; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth","1","80","3","YNR013C","Interaction Data Present","Not A PMA1 Interactor"
"967","PRO3","856744","YER023W","Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis","1","80","3","YER023W","Interaction Data Present","Not A PMA1 Interactor"
"998","PRS1","853654","YKL181W","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease","1","80","3","YKL181W","Interaction Data Present","Not A PMA1 Interactor"
"1015","PRS5","854093","YOL061W","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress","1","80","3","YOL061W","Interaction Data Present","Not A PMA1 Interactor"
"1036","QRI1","851455","YDL103C","UDP-N-acetylglucosamine pyrophosphorylase; catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis; protein abundance increases in response to DNA replication stress","1","80","3","YDL103C","Interaction Data Present","Not A PMA1 Interactor"
"1062","RNA1","855275","YMR235C","GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport","1","80","3","YMR235C","Interaction Data Present","Not A PMA1 Interactor"
"1070","RNR2","853427","YJL026W","Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication","1","80","3","YJL026W","Interaction Data Present","Not A PMA1 Interactor"
"1090","RPB2","854322","YOR151C","RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit","1","80","3","YOR151C","Interaction Data Present","Not A PMA1 Interactor"
"1133","SAC6","851707","YDR129C","Fimbrin, actin-bundling protein; cooperates with Scp1p in organization and maintenance of the actin cytoskeleton; phosphorylated by Cdc28p/Clb2p in metaphase on T103, to regulate conformation, and modulate actin filament binding affinity and actin cable dynamics; relocalizes from the plasma membrane to the cytoplasm upon DNA replication stress; human homologs PLS3 and LCP1 implicated in spinocerebellar ataxia type 2 (SCA2) can each complement yeast null mutant","1","80","3","YDR129C","Interaction Data Present","Not A PMA1 Interactor"
"1149","SEC17","852230","YBL050W","Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP","1","80","3","YBL050W","No Interaction Data","Not A PMA1 Interactor"
