"","orf_name","row","column","cor","num_obs","gene1","gene2","SGD","ENTREZID","GENENAME","ENSEMBL","DESCRIPTION"
"22","YNL074C","chr4_94133","chr14_486766",0.791598268642558,2238,NA,"YNL074C","S000005018","855650","MLF3","YNL074C","Serine-rich protein of unknown function; predicted to be palmitoylated; overproduction suppresses growth inhibition caused by exposure to immunosuppressant leflunomide; MLF3 has a paralog, VHS2, that arose from the whole genome duplication"
"23","YBR279W","chr4_94133","chr2_761257",0.790383076093533,2238,NA,"YBR279W","S000000483","852582","PAF1","YBR279W","Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cell cycle-regulated genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; homolog of human PD2/hPAF1"
"24","YPR185W","chr4_94133","chr16_907218",0.789514741517349,2238,NA,"YPR185W","S000006389","856315","ATG13","YPR185W","Regulatory subunit of the Atg1p signaling complex; stimulates Atg1p kinase activity; required for vesicle formation during autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; contains a HORMA domain required for autophagy and for recruitment of the phosphatidylinositol 3-kinase complex subunit Atg14p to the pre-autophagosomal structure"
"25","YJL077C","chr4_94133","chr10_294666",0.789391968591462,1526,NA,"YJL077C","S000003613","853368","ICS3","YJL077C","Protein with a role in copper homeostasis; possible role in vacuolar sorting and processing of secretory proteins; null mutants are hypersensitive to sortin2"
"26","YER092W","chr4_94133","chr5_342855",0.786569347215019,2238,NA,"YER092W","S000000894","856827","IES5","YER092W","Non-essential INO80 chromatin remodeling complex subunit; deletion affects telomere maintenance via recombination"
"27","YBR082C","chr4_94133","chr2_406628",0.78556085395417,2238,NA,"YBR082C","S000000286","852376","UBC4","YBR082C","Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog, UBC5, that arose from the whole genome duplication"
"28","YOR223W","chr4_94133","chr15_759782",0.785415981610621,2212,NA,"YOR223W","S000005749","854398","DSC3","YOR223W","Subunit of the DSC ubiquitin ligase complex; protein of unknown function that localizes to the ER and vacuole lumen; overexpression affects endocytic protein trafficking; ortholog of fission yeast dsc3"
"29","YIL112W","chr4_94133","chr9_151595",0.784522180163524,2238,NA,"YIL112W","S000001374","854694","HOS4","YIL112W","Subunit of the Set3 complex; complex is a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; potential Cdc28p substrate"
"30","YGL110C","chr4_94133","chr7_301537",0.783261532793742,2238,NA,"YGL110C","S000003078","852768","CUE3","YGL110C","Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination"
"31","YKR036C","chr4_94133","chr11_508702",0.78220901798179,2238,NA,"YKR036C","S000001744","853908","CAF4","YKR036C","WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication"
"32","YJR060W","chr4_94133","chr10_548759",0.781825862166387,2238,NA,"YJR060W","S000003821","853523","CBF1","YJR060W","Basic helix-loop-helix (bHLH) protein; forms homodimer to bind E-box consensus sequence CACGTG present at MET gene promoters and centromere DNA element I (CDEI); affects nucleosome positioning at this motif; associates with other transcription factors such as Met4p and Isw1p to mediate transcriptional activation or repression; associates with kinetochore proteins, required for chromosome segregation; protein abundance increases in response to DNA replication stress"
"33","YGL185C","chr4_94133","chr7_153167",0.781293951433244,2238,NA,"YGL185C","S000003153","852690",NA,"YGL185C","Putative protein with sequence similar to hydroxyacid dehydrogenases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
"34","YMR068W","chr4_94133","chr13_406304",0.781196263401879,2238,NA,"YMR068W","S000004672","855090","AVO2","YMR068W","Component of a complex containing the Tor2p kinase and other proteins; complex may have a role in regulation of cell growth"
"35","YGL066W","chr4_94133","chr7_377609",0.781157981537665,2238,NA,"YGL066W","S000003034","852814","SGF73","YGL066W","Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes, maintaining organization and ubiquitin-binding conformation of Ubp8p, thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia, and can complement yeast null mutant"
"36","YLR324W","chr4_94133","chr12_779215",0.780972892777139,2238,NA,"YLR324W","S000004316","851034","PEX30","YLR324W","ER-resident protein involved in peroxisomal biogenesis; ER-localized protein that associates with peroxisomes; interacts with Pex29p and reticulons Rtn1p and Yop1p to regulate peroxisome biogenesis from the ER; role in peroxisomal-destined vesicular flow from the ER; partially redundant with Pex31p; may function at a step downstream of steps mediated by Pex28p and Pex29p; PEX30 has a paralog, PEX31, that arose from the whole genome duplication"
"37","YJL140W","chr4_94133","chr10_150961",0.780700392070299,2238,NA,"YJL140W","S000003676","853301","RPB4","YJL140W","RNA polymerase II subunit B32; forms dissociable heterodimer with Rpb7p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNAPII complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation"
"38","YMR121C","chr4_94133","chr13_509734",0.780583766545726,2238,NA,"YMR121C","S000004728","855150","RPL15B","YMR121C","Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15B has a paralog, RPL15A, that arose from the whole genome duplication; relocalizes from nucleus to nucleolus upon DNA replication stress"
"39","YDL197C","chr4_94133","chr4_104917",0.780231209748964,2238,NA,"YDL197C","S000002356","851330","ASF2","YDL197C","Anti-silencing protein; causes derepression of silent loci when overexpressed"
"40","YOL060C","chr4_94133","chr15_214017",0.779146495194965,2238,NA,"YOL060C","S000005421","854094","MAM3","YOL060C","Protein required for normal mitochondrial morphology; has similarity to hemolysins"
"41","YBR237W","chr4_94133","chr2_691969",0.778607458413558,2238,NA,"YBR237W","S000000441","852539","PRP5","YBR237W","RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA"
"42","YGR237C","chr4_94133","chr7_963298",0.778077228693113,2238,NA,"YGR237C","S000003469","853152",NA,"YGR237C","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
"43","YML013W","chr4_94133","chr13_244149",0.77803882884554,2238,NA,"YML013W","S000004475","854995","UBX2","YML013W","Bridging factor involved in ER-associated protein degradation (ERAD); bridges the cytosolic Cdc48p-Npl1p-Ufd1p ATPase complex and the membrane associated Ssm4p and Hrd1p ubiquitin ligase complexes; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain; redistributes from the ER to lipid droplets during the diauxic shift and stationary phase; required for the maintenance of lipid homeostasis"
"44","YLR211C","chr4_94133","chr12_563792",0.777926268928715,2238,NA,"YLR211C","S000004201","850908","ATG38","YLR211C","Homodimeric subunit of autophagy-specific PtdIns-3-kinase complex I; required for the integrity of the active PtdIns-3-kinase complex I by maintaining an association between Vps15p-Vps34p and Atg14p-Vps30p subcomplexes; localizes to the pre-autophagosomal structure (PAS) in an Atg14p-dependent manner; ATG38 is non-essential but is required for macroautophagy"
"45","YDR186C","chr4_94133","chr4_832859",0.777797922089521,2238,NA,"YDR186C","S000002594","851767","SND1","YDR186C","Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Env10p/Snd2p and Pho88p/Snd3p; can compensate for loss of SRP; may interact with ribosomes, based on co-purification experiments; GFP-fusion protein localizes to the cytoplasm"
"46","YFL010C","chr4_94133","chr6_115108",0.777560515704141,2238,NA,"YFL010C","S000001884","850538","WWM1","YFL010C","WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes G1 phase growth arrest and clonal death that is suppressed by overexpression of MCA1"
"47","YJR021C","chr4_94133","chr10_468555",0.77375938052143,2238,NA,"YJR021C","S000003782","853478","REC107","YJR021C","Protein involved in early stages of meiotic recombination; involved in coordination between the initiation of recombination and the first division of meiosis; part of a complex (Rec107p-Mei4p-Rec114p) required for ds break formation"
"48","YGL212W","chr4_94133","chr7_91432",0.773631356776066,2237,NA,"YGL212W","S000003180","852660","VAM7","YGL212W","Vacuolar SNARE protein; functions with Vam3p in vacuolar protein trafficking; has an N-terminal PX domain (phosphoinositide-binding module) that binds PtdIns-3-P and mediates membrane binding; SNAP-25 homolog; protein abundance increases in response to DNA replication stress"
"49","YDL115C","chr4_94133","chr4_253995",0.771777330445091,2238,NA,"YDL115C","S000002273","851442","IWR1","YDL115C","RNA polymerase II transport factor, conserved from yeast to humans; also has a role in transporting RNA polymerase III into the nucleus; interacts with most of the RNAP II subunits; nucleo-cytoplasmic shuttling protein; deletion causes hypersensitivity to K1 killer toxin; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress"
"50","YPR178W","chr4_94133","chr16_892332",0.770574673110887,2238,NA,"YPR178W","S000006382","856307","PRP4","YPR178W","Splicing factor; component of the U4/U6-U5 snRNP complex"
"51","YBR194W","chr4_94133","chr2_610038",0.770268619433835,2238,NA,"YBR194W","S000000398","852493","AIM4","YBR194W","Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress"
"52","YJL199C","chr4_94133","chr10_59856",0.769766570329182,2235,NA,"YJL199C","S000003735","853240","MBB1",NA,"Putative protein of unknown function; conserved among S. cerevisiae strains, not conserved in closely related Saccharomyces species; protein detected in large-scale protein-protein interaction studies; YJL199C is not an essential gene"
"53","YFL009W","chr4_94133","chr6_116145",0.769184708016401,2238,NA,"YFL009W","S000001885","850539","CDC4","YFL009W","F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
"54","YMR200W","chr4_94133","chr13_664752",0.768641668705093,2238,NA,"YMR200W","S000004813","855240","ROT1","YMR200W","Molecular chaperone involved in protein folding in ER; mutation causes defects in cell wall synthesis and lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation; transmembrane helix Ser250 is essential for Rot1p to interact with other membrane components and exert its functional role, avoiding exposure of Ser H-bonding group at lipid-exposed surface"
"55","YDL012C","chr4_94133","chr4_431108",0.768387591959782,2238,NA,"YDL012C","S000002170","851550",NA,"YDL012C","Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication"
"56","YMR042W","chr4_94133","chr13_352603",0.76806855512492,2237,NA,"YMR042W","S000004645","855059","ARG80","YMR042W","Transcription factor involved in regulating arginine-responsive genes; acts with Arg81p and Arg82p"
"57","YCL034W","chr4_94133","chr3_61658",0.767868323336972,2238,NA,"YCL034W","S000000539","850323","LSB5","YCL034W","Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p, ubiquitin, Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p, which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly, actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat"
"58","YFR003C","chr4_94133","chr6_152657",0.767690259766014,2238,NA,"YFR003C","S000001899","850553","YPI1","YFR003C","Regulatory subunit of the type I protein phosphatase (PP1) Glc7p; Glc7p participates in the regulation of a variety of metabolic processes including mitosis and glycogen metabolism; in vitro evidence suggests Ypi1p is an inhibitor of Glc7p while in vivo evidence suggests it is an activator; overproduction causes decreased cellular content of glycogen; partial depletion causes lithium sensitivity, while overproduction confers lithium-tolerance"
"59","YPL047W","chr4_94133","chr16_465962",0.767611959394716,2238,NA,"YPL047W","S000005968","856060","SGF11","YPL047W","Integral subunit of SAGA histone acetyltransferase complex; regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation"
"60","YIR025W","chr4_94133","chr9_403659",0.767463578657257,2238,NA,"YIR025W","S000001464","854843","MND2","YIR025W","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase"
"61","YFL042C","chr4_94133","chr6_45720",0.766932194022744,2238,NA,"YFL042C","S000001852","850501","LAM5","YFL042C","Putative sterol transfer protein; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; has both GRAM and StART-like (VASt) domains; localizes to membrane contact sites throughout the cell, including nucleus-vacuole junctions and ER-mitochondrial contact sites"
"62","YGR013W","chr4_94133","chr7_514554",0.766604206564016,2238,NA,"YGR013W","S000003245","852896","SNU71","YGR013W","Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart"
"63","YGL023C","chr4_94133","chr7_450197",0.76588366849864,2238,NA,"YGL023C","S000002991","852861","PIB2","YGL023C","Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"
"64","YHL027W","chr4_94133","chr8_51111",0.765491417172016,2238,NA,"YHL027W","S000001019","856358","RIM101","YHL027W","Cys2His2 zinc-finger transcriptional repressor; involved in alkaline responsive gene repression as part of adaptation to alkaline conditions; involved in cell wall assembly; required for alkaline pH-stimulated haploid invasive growth and sporulation; activated by alkaline-dependent proteolytic processing which results in removal of the C-terminal tail; similar to A. nidulans PacC"
"65","YOR042W","chr4_94133","chr15_408425",0.765478872232807,2238,NA,"YOR042W","S000005568","854206","CUE5","YOR042W","Ubiquitin-binding protein; functions as ubiquitin-Atg8p adaptor in ubiquitin-dependent autophagy; serves as proteaphagy receptor for inactivated 26S proteasomes; contains CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE5 has a paralog, DON1, that arose from the whole genome duplication; human TOLLIP is a functional CUE-domain homolog, can complement yeast null mutant, rescuing hypersensitivity of cue5 null mutant cells to Htt-96Q"
"66","YGR104C","chr4_94133","chr7_697445",0.763803620246138,2238,NA,"YGR104C","S000003336","852996","SRB5","YGR104C","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; required for proper termination of transcription for some genes; involved in telomere maintenance"
"67","YBR103W","chr4_94133","chr2_447709",0.763082154265785,2238,NA,"YBR103W","S000000307","852399","SIF2","YBR103W","WD40 repeat-containing subunit of Set3C histone deacetylase complex; complex represses early/middle sporulation genes; antagonizes telomeric silencing; binds specifically to the Sir4p N-terminus"
"68","YER128W","chr4_94133","chr5_415859",0.762457362887528,2236,NA,"YER128W","S000000930","856865","VFA1","YER128W","Protein that interacts with Vps4p and has a role in vacuolar sorting; stimulates the ATPase activity of Vps4; localizes to endosomes in a Vps4-dependent manner; overexpression causes canavanine sensitivity and confers a partial class D vacuole morphology"
"69","YLR001C","chr4_94133","chr12_151389",0.761734789443125,2238,NA,"YLR001C","S000003991","850687",NA,"YLR001C","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated"
"70","YHR199C-A","chr4_94133","chr8_498571",0.761392980160531,2234,NA,"YHR199C-A","S000029704","2746858","NBL1","YHR199C-A","Subunit of the conserved chromosomal passenger complex (CPC); complex regulates mitotic chromosome segregation; not required for the kinase activity of the complex; mediates the interaction of Sli15p and Bir1p; other complex members are Ipl1p, Sli15p, and Bir1p"
"71","YIL139C","chr4_94133","chr9_87979",0.760987216151767,2238,NA,"YIL139C","S000001401","854667","REV7","YIL139C","Accessory subunit of DNA polymerase zeta; involved in translesion synthesis during post-replication repair; required for mutagenesis induced by DNA damage; involved in double-strand break repair; forms a complex with Rev3p, Pol31p and Pol32p"
"72","YGR031W","chr4_94133","chr7_546441",0.760821663369995,2238,NA,"YGR031W","S000003263","852919","IMO32","YGR031W","Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1"
"73","YHR135C","chr4_94133","chr8_372694",0.760789298244268,2238,NA,"YHR135C","S000001177","856537","YCK1","YHR135C","Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; involved in the phosphorylation and regulation of glucose sensor Rgt2p; YCK1 has a paralog, YCK2, that arose from the whole genome duplication"
"74","YDR490C","chr4_94133","chr4_1431968",0.760399175299014,2238,NA,"YDR490C","S000002898","852101","PKH1","YDR490C","Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh2p; PKH1 has a paralog, PKH2, that arose from the whole genome duplication"
"75","YDR229W","chr4_94133","chr4_924785",0.760034499717367,2238,NA,"YDR229W","S000002637","851815","IVY1","YDR229W","Phospholipid-binding protein that interacts with both Ypt7p and Vps33p; may partially counteract the action of Vps33p and vice versa, localizes to the rim of the vacuole as cells approach stationary phase"
"76","YPL170W","chr4_94133","chr16_228314",0.759889636029685,2238,NA,"YPL170W","S000006091","855933","DAP1","YPL170W","Heme-binding protein; involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis"
"77","YLR090W","chr4_94133","chr12_320701",0.759099320704291,2238,NA,"YLR090W","S000004080","850779","XDJ1","YLR090W","Chaperone with a role in facilitating mitochondrial protein import; ascomycete-specific member of the DnaJ-like family, closely related to Ydj1p; predicted to be C-terminally prenylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"78","YCL047C","chr4_94133","chr3_43661",0.758628523897247,2238,NA,"YCL047C","S000000552","850310","POF1","YCL047C","Nicotinamide mononucleotide-specific adenylyltransferase (NMNAT); catalyzes the conversion of nicotinamide mononucleotide (NMN) to nicotinamide adenine dinucleotide (NAD+); role in the nicotinamide riboside (NR) salvage pathway of NAD+ biosynthesis; involved in NR and NAD+ homeostasis; ATPase involved in protein quality control and filamentation pathways; interacts physically with Kss1p and suppresses the filamentation defect of a kss1 deletion"
"79","YJL020C","chr4_94133","chr10_398937",0.757512744161836,2238,NA,"YJL020C","S000003557","853433","BBC1","YJL020C","Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to cortical actin patches"
"80","YER033C","chr4_94133","chr5_218057",0.757442977143956,2238,NA,"YER033C","S000000835","856755","ZRG8","YER033C","Protein of unknown function; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; GFP-fusion protein is localized to the cytoplasm; transcription induced under conditions of zinc deficiency"
"81","YGR017W","chr4_94133","chr7_523787",0.757358586133239,2238,NA,"YGR017W","S000003249","852900",NA,"YGR017W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm"
"82","YHR114W","chr4_94133","chr8_338083",0.757237027654227,2238,NA,"YHR114W","S000001156","856514","BZZ1","YHR114W","SH3 domain protein implicated in regulating actin polymerization; able to recruit actin polymerization machinery through its SH3 domains; colocalizes with cortical actin patches and Las17p; interacts with type I myosins"
"83","YBR228W","chr4_94133","chr2_675313",0.75711036960209,2238,NA,"YBR228W","S000000432","852529","SLX1","YBR228W","Endonuclease involved in DNA recombination and repair; subunit of a complex, with Slx4p, that hydrolyzes 5' branches from duplex DNA in response to stalled or converging replication forks; function overlaps with that of Sgs1p-Top3p"
