"","Gene.Systematic.Name","Gene.Name","Description","ybr_interactor"
"12","YGL206C","CHC1","Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function","No"
"13","YGR218W","CRM1","Nuclear export factor, exportin; major karyopherin involved in export of proteins, RNAs, and ribosomal subunits from the nucleus","No"
"14","YGL238W","CSE1","Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L, overexpression of which is implicated in cancer progression","No"
"15","YCR054C","CTR86","Essential protein of unknown function; with orthologs in Ashbya gossypii and Candida albicans; similar to human ATXN10, mutations in which cause spinocerebellar ataxia type 10; codon usage corresponds to that observed for yeast genes expressed at low levels; relative distribution to the nucleus increases upon DNA replication stress","No"
"16","YGR278W","CWC22","Spliceosome-associated protein that is required for pre-mRNA splicing; necessary for Prp2p function at the first catalytic step of splicing; has similarity to S. pombe Cwf22p; CWC22 is an essential protein","No"
"17","YKL213C","DOA1","WD-repeat protein involved in Ub-mediated proteolysis; K48-, K29-specific Ub chain binding protein involved in Ub homeostasis; substrate-recruiting adaptor for Cdc48p in mitochondria-associated degradation; inhibits degradation of Ufd2p-dependent substrates; facilitates proteolysis of Cse4p, a centromeric H3-like protein; required for ribophagy; promotes NHEJ in postdiauxic/stationary phase; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon replication stress","No"
"18","YDR141C","DOP1","Protein involved in vesicular transport at trans-Golgi network (TGN); TGN-localized, leucine-zipper domain protein; involved in endosome-to-Golgi transport during endocytic recycling, and retrograde transport of glycosyltransferases from the TGN to the Golgi; involved in organization of the ER, establishment of cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies","Yes"
"19","YHL030W","ECM29","Scaffold protein; assists in association of proteasome core particle with regulatory particle; inhibitor of proteasome in vivo and in vitro; inhibits proteasomal ATPase activity; degraded by the mature proteasome after assembly; contains HEAT-like repeats; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress","No"
"20","YKL187C","FAT3","Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication","No"
"21","YBR101C","FES1","Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for degradation; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress","No"
"22","YDR211W","GCD6","Catalytic epsilon subunit of the translation initiation factor eIF2B; eIF2B is the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression; mutations in human ortholog cause fatal brain disease childhood ataxia with central nervous system hypomyelination (CACH); forms cytoplasmic foci upon DNA replication stress","No"
"23","YGL195W","GCN1","Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA; suppresses frameshifting at stalled ribosomes","Yes"
"24","YNL014W","HEF3","Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog, YEF3, that arose from the whole genome duplication","No"
"25","YGR187C","HGH1","Chaperone protein for translation factor eEF2; involved in biogenesis of eukaryotic Elongation Factor 2 (Eft1p, Eft2p); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; similar to mammalian BRP16 (Brain protein 16); relative distribution to the nucleus increases upon DNA replication stress","No"
"26","YMR288W","HSH155","U2-snRNP associated splicing factor; forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; similarity to the mammalian U2 snRNP-associated splicing factor SAP155","No"
"27","YBR272C","HSM3","Evolutionarily conserved 19S regulatory particle assembly-chaperone; involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); involved in DNA mismatch repair during slow growth; weak similarity to Msh1p; structural study suggests Hsm3p is a scaffold protein for Rpt1p-Rpt2p complex formation; ortholog of human 19S subunit S5b","No"
"28","YKL189W","HYM1","Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis; interacts with Sog2p; allosterically activates Kic1p; localizes to sites of polarized growth during budding and during the mating response","No"
"29","YHR085W","IPI1","Component of the Rix1 complex and possibly pre-replicative complexes; required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p; required for pre-replicative complex (pre-RC) formation and maintenance during DNA replication licensing; relocalizes to the cytosol in response to hypoxia; essential gene","No"
"30","YIL026C","IRR1","Subunit of the cohesin complex; which is required for sister chromatid cohesion during mitosis and meiosis and interacts with centromeres and chromosome arms; relocalizes to the cytosol in response to hypoxia; essential for viability","No"
"31","YJR091C","JSN1","Member of the Puf family of RNA-binding proteins; interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl; JSN1 has a paralog, PUF2, that arose from the whole genome duplication","No"
"32","YBR017C","KAP104","Transportin or cytosolic karyopherin beta 2; functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p; regulates asymmetric protein synthesis in daughter cells during mitosis","No"
"33","YGL241W","KAP114","Karyopherin, responsible for nuclear import of specific proteins; cargoes include Spt15p, Sua7p, histones H2A and H2B, and Nap1p; amino terminus shows similarity to those of other importins, particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress","No"
"34","YPL125W","KAP120","Karyopherin responsible for the nuclear import of Rpf1p; Rpf1p is a ribosome maturation factor","No"
"35","YGL016W","KAP122","Karyopherin beta; bidirectional nuclear transport receptor (biportin) that shuttles distinct sets of cargoes in opposite directions; responsible for import of Toa1p-Toa2p complex into nucleus; depletes eIF5A and eEF2 from cell nuclei; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance","Yes"
"36","YER110C","KAP123","Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1","Yes"
"37","YLR347C","KAP95","Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p","No"
"38","YHR186C","KOG1","Ubiquitin-binding protein; centrally regulates metabolic homeostasis and carbon utilization during nutrient limitation by managing Snf1p activity; subunit of TORC1 rapamycin-sensitive complex involved in growth control; central scaffold that holds the different components of TORC1 together; contains four HEAT repeats and seven WD-40 repeats","No"
"39","YJL207C","LAA1","AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene","Yes"
"40","YNL045W","LAP2","Leucyl aminopeptidase yscIV with epoxide hydrolase activity; metalloenzyme containing one zinc atom; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; also known as leukotriene A4 hydrolase","No"
"41","YJR070C","LIA1","Deoxyhypusine hydroxylase; HEAT-repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning; protein abundance increases in response to DNA replication stress","No"
"42","YKL205W","LOS1","Nuclear pore protein; involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm; deletion mutation extends replicative lifespan, as does exclusion of Los1p from the nucleus in response to caloric restriction","Yes"
"43","YDR060W","MAK21","Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein","No"
"44","YBR136W","MEC1","Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened, dysfunctional telomeres","No"
"45","YIL128W","MET18","Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Cia2p that directs Fe-S cluster incorporation and maturation of a subset of cytosolic and nuclear proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human MMS19","No"
"46","YPL082C","MOT1","Essential protein involved in regulation of transcription; removes Spt15p (TBP) from DNA via its C-terminal ATPase activity; may have a role in ensuring that soluble TBP is available to bind TATA-less promoters; forms a complex with TBP that binds TATA DNA with high affinity but with altered specificity; the Mot1p-Spt15p-DNA ternary complex contains unbent DNA; coregulates transcription with Spt16p through assembly of preinitiation complex and organization of nucleosomes","No"
"47","YGL178W","MPT5","mRNA-binding protein of the PUF family; binds to specific mRNAs, often in the 3' UTR; has broad specificity and binds to more than 1000 mRNAs (16% of the transcriptome); recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation, decapping, and decay; also interacts with the Caf20p translational initiation repressor, affecting its mRNA target specificity","No"
"48","YDR335W","MSN5","Karyopherin; involved in nuclear import and export of proteins, including import of replication protein A and export of Far1p and transcription factors Swi5p, Swi6p, Msn2p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm; exportin-5 homolog","No"
"49","YOR160W","MTR10","Nuclear import receptor; mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p; required for retrograde import of mature tRNAs; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress","Yes"
"50","YPL226W","NEW1","Translation termination and ribosome biogenesis factor; ATP binding cassette protein that cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports [NU+] prion formation and susceptibility to [PSI+] prion induction","No"
"51","YHR077C","NMD2","Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance","No"
"52","YJR132W","NMD5","Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog","Yes"
"53","YLR002C","NOC3","Subunit of a nuclear complex with Noc2p and pre-replicative complexes; the Noc2p-Noc3p complex binds to 66S ribosomal precursors to mediate their maturation and intranuclear transport; binds to chromatin at active replication origins, and is required for pre-RC formation and maintenance during DNA replication licensing","No"
"54","YJL010C","NOP9","Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain","No"
"55","YMR076C","PDS5","Cohesion maintenance factor; involved in sister chromatid condensation and cohesion; colocalizes with cohesin on chromosomes; performs its cohesin maintenance function in pre-anaphase cells by protecting the integrity of the cohesion complex; regulates homolog pairing and facilitates synaptonemal complex formation, axis formation, interhomolog recombination and synapsis during meiosis; relocalizes to the cytosol in response to hypoxia; scaffolding protein contains 26 HEAT repeats  ","No"
"56","YNL267W","PIK1","Phosphatidylinositol 4-kinase; catalyzes the first step in the biosynthesis of phosphatidylinositol-4,5-biphosphate; may control cytokinesis through the actin cytoskeleton; required for autophagosome formation during autophagy and for lipophagy in both stationary phase cells and during nitrogen starvation; may control nonselective autophagy and mitophagy through trafficking of Atg9p; localizes to the nucleus and to the trans-Golgi network","No"
"57","YEL055C","POL5","Protein involved in 60S assembly and pre-40S AFs recycling; has sequence similarity to human MybBP1A and weak sequence similarity to B-type DNA polymerases; not required for chromosomal DNA replication","No"
"58","YMR308C","PSE1","Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p; required for stability of the Dam1p-Duo1p complex","No"
"59","YNL201C","PSY2","Subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form the active complex, Psy4p may provide additional substrate specificity; regulates recovery from the DNA damage checkpoint, the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; Pph3p and Psy2p localize to foci on meiotic chromosomes; putative homolog of mammalian R3","No"
"60","YPR042C","PUF2","PUF family mRNA-binding protein; Pumilio homology domain confers RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins; binding site composed of two UAAU tetranucleotides, separated by a 3-nt linker; PUF2 has a paralog, JSN1, that arose from the whole genome duplication","No"
"61","YLL013C","PUF3","Protein of the mitochondrial outer surface; links the Arp2/3 complex with the mitochondria during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins; translationally represses oxidative stress-linked genes; regulates CoQ biosynthesis","No"
"62","YGL014W","PUF4","Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors","No"
"63","YDR496C","PUF6","Pumilio-homology domain protein; binds the 3' UTR of ASH1 mRNA and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; co-sediments with the 60S ribosomal subunit and is required for its biogenesis","No"
"64","YMR247C","RKR1","RING domain E3 ubiquitin ligase; involved in ubiquitin-mediated degradation of non-stop proteins and translationally stalled ER membrane proteins; component of ribosome-bound RQC (ribosome quality control) complex; degrades products of mRNAs lacking a termination codon regardless of a poly(A) tail; functional connections to chromatin modification; homolog of mouse Listerin, mutations in which reported to cause neurodegeneration","No"
"65","YHR027C","RPN1","Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle","Yes"
"66","YIL075C","RPN2","Subunit of the 26S proteasome; substrate of the N-acetyltransferase Nat1p; protein abundance increases in response to DNA replication stress","Yes"
"67","YPL012W","RRP12","Protein required for export of the ribosomal subunits; associates with the RNA components of the pre-ribosomes; has a role in nuclear import in association with Pse1p; also plays a role in the cell cycle and the DNA damage response; contains HEAT-repeats","No"
"68","YMR185W","RTP1","Protein required for the nuclear import and biogenesis of RNA pol II; conflicting evidence on whether null mutant is viable with elongated buds, or inviable; interacts with Rpb2, Rpb3, Nup116p, Nup100p and components of the R2TP complex (Rvb1p, Rvb2p, Pih1p); similar to human TMCO7 gene","No"
"69","YOR014W","RTS1","B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis, for ring disassembly in G1 and for dephosphorylation of septin, Shs1p; homolog of the mammalian B' subunit of PP2A","No"
"70","YDR180W","SCC2","Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL, the human ortholog of SCC2; conserved role in NHEJ","No"
"71","YGL083W","SCY1","Putative kinase; suppressor of GTPase mutant; similar to bovine rhodopsin kinase; may have a role in intracellular sterol transport","No"
"72","YGR245C","SDA1","Protein required for actin organization and passage through Start; highly conserved nuclear protein; required for actin cytoskeleton organization; plays a critical role in G1 events; binds Nap1p; involved in 60S ribosome biogenesis","No"
"73","YNL287W","SEC21","Gamma subunit of coatomer; coatomer is a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo","No"
"74","YDR238C","SEC26","Essential beta-coat protein of the COPI coatomer; involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)","Yes"
"75","YDR170C","SEC7","Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors; involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles","Yes"
"76","YLR336C","SGD1","Essential nuclear protein; required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia","No"
"77","YOR035C","SHE4","Protein containing a UCS (UNC-45/CRO1/SHE4) domain; binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization","No"
"78","YNL189W","SRP1","Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation","No"
"79","YMR125W","STO1","Large subunit of the nuclear mRNA cap-binding protein complex; interacts with Npl3p to carry nuclear poly(A)+ mRNA to cytoplasm; also involved in nuclear mRNA degradation and telomere maintenance; orthologous to mammalian CBP80","No"
"80","YLR305C","STT4","Phosphatidylinositol-4-kinase; functions in Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization; required for autophagosome-vacuole fusion during autophagy and for lipophagy in stationary phase cells and during nitrogen starvation; localizes to plasma membrane and mitochondria in HTP studies ","No"
"81","YBL034C","STU1","Microtubule plus-end-tracking non-motor protein; binds to MTs, stabilizing interpolar MT plus ends, facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle, spindles poles, and detached KTs; CLASP family member homologous to human CLASP1/2","No"
"82","YLR045C","STU2","Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase, as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member","No"
"83","YDR395W","SXM1","Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1","Yes"
"84","YDL063C","SYO1","Transport adaptor or symportin; assembly chaperone that co-translationally associates with nascent Rpl5p, preventing aggregation; facilitates synchronized nuclear coimport of two 5S-rRNA binding proteins, Rpl5p and Rpl11p, mediated by import receptor Kap104p; required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus","No"
"85","YGL112C","TAF6","Subunit (60 kDa) of TFIID and SAGA complexes; involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4; relocalizes to the cytosol in response to hypoxia","No"
"86","YIL129C","TAO3","Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with protein kinase Cbk1p and also with Kic1p","No"
"87","YGR162W","TIF4631","Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); stimulates the ATPase and helicase activities of eIF4A synergistically with eIF4G; required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; association with Pab1p mediates poly(A) tail-stimulated translation; role in assembly of PET region in biogenesis of 60S ribosomal subunit","No"
"88","YGL049C","TIF4632","Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated, translation","No"
"89","YPR041W","TIF5","Translation initiation factor eIF5; functions as both a GTPase-activating protein (GAP) that stimulates the hydrolysis of GTP bound to eIF-2, as part of the 43S preinitiation complex, and as a GDP dissociation inhibitor (GDI) to prevent recycling of eIF2; human ortholog eIF5 complements the yeast null mutant","No"
"90","YDR457W","TOM1","E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase","No"
"91","YJR066W","TOR1","PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis; indole-3-acetic acid, an ATP-competitive inhibitor of TORC1, accumulates upon entry into stationary phase; TOR1 has a paralog, TOR2, that arose from the whole genome duplication","No"
"92","YKL203C","TOR2","PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates plasma membrane (PM) homeostasis and cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis; PM retention is dependent on Avo3p; TOR2 has a paralog, TOR1, that arose from the whole genome duplication","No"
"93","YAL016W","TPD3","Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III","No"
"94","YHR099W","TRA1","Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation","No"
"95","YMR259C","TRM732","Protein involved in 2'-O-methylation of C32 of substrate tRNAs; interacts with 2'-O-ribose methyltransferase Trm7p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; non-essential gene; yeast null mutant can be functionally complemented by human THADA, mutations in which have been implicated in epithelial thyroid adenomas, type 2 diabetes, and polycystic ovary syndrome (PCOS)","No"
"96","YER093C","TSC11","Subunit of TORC2, a regulator of plasma membrane (PM) homeostasis; TORC2 also regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity; contains an N-terminal armadillo repeat region necessary for recruitment to the PM and for anchoring Tor2p and Avo1p at the PM; acts along with Avo1p as a scaffold important for integrity of the TORC2 complex; involved in sphingolipid metabolism; contains a RasGEFN domain","No"
"97","YKL033W","TTI1","Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies","No"
"98","YKL010C","UFD4","Ubiquitin-protein ligase (E3); interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome; involved in K29-linked ubiquitin-dependent protein catabolism, including ubiquitin fusion proteins; relative distribution to the nucleus increases upon DNA replication stress","No"
"99","YDL058W","USO1","Essential protein involved in vesicle-mediated ER to Golgi transport; binds membranes and functions during vesicle docking to the Golgi; required for assembly of the ER-to-Golgi SNARE complex","No"
"100","YJL109C","UTP10","Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; mutant has increased aneuploidy tolerance","No"
"101","YBL004W","UTP20","Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA","No"
"102","YLR386W","VAC14","Enzyme regulator; involved in synthesis of phosphatidylinositol 3,5-bisphosphate, in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity; binds negative (Fig4p) and positive (Fab1p) regulators of PtdIns(3,5)P(2) to control endolysosome function; similar to mammalian Vac14p","No"
"103","YEL013W","VAC8","Vacuole-specific Myo2p receptor; Myo2p-Vac17p-Vac8p transport complex subunit required for vacuolar inheritance; mediates anchoring of phosphatidylinositol 3-kinase complex I (PIK3C3-C1) to autophagosome; required with Atg13p for the vesicle closure step of the cytoplasm-to-vacuole (CVT) pathway, for homotypic vacuole-vacuole fusion and for nucleus-vacuole junction formation with Nvj1p; contains 11 armadillo (ARM) repeats; myristoylated, palmitoylated, and phosphorylated","No"
"104","YIL017C","VID28","GID Complex subunit, serves as adaptor for regulatory subunit Vid24p; protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase); localized to the nucleus and the cytoplasm","No"
"105","YPR036W","VMA13","Subunit H of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits","No"
